strategy,label,color,total_production_time,production_time_per_item,mean_completion_rate,mean_queue_depth,max_queue_depth,mean_in_transit,mean_reorder_placements,mean_batch_prod_hours
uni_fifo_norsl,Uni|FIFO|noRSL,#d95b5b,72931297.69047315,12.29629370884944,1.596455805154413,0.0,0.0,0.0,38515.90666666667,0.2701159173721228
uni_rank_random_norsl,Uni|Rank_random|noRSL,#d9715b,72921993.97654206,12.29449085922216,1.5966459784818203,0.0,0.0,0.0,38515.85333333333,0.27008145917237797
uni_rank_popularity_norsl,Uni|Rank_popularity|noRSL,#d9875b,72915109.94492438,12.29567066992871,1.5972349103461148,0.0,0.0,0.0,38511.96,0.2700559627589792
uni_rank_labor_norsl,Uni|Rank_labor|noRSL,#d99e5b,72922662.88278815,12.297130951194914,1.5968409438439324,0.0,0.0,0.0,38511.56,0.2700839366029191
uni_rank_cartlabor_norsl,Uni|Rank_cartlabor|noRSL,#d9b45b,72918015.7334994,12.29607565993704,1.5971961690376744,0.0,0.0,0.0,38512.346666666665,0.2700667249388866
uni_rank_minlabor_norsl,Uni|Rank_minlabor|noRSL,#d9ca5b,73076048.54533999,12.170138770956026,1.5709248294737286,0.0,0.0,0.0,38788.96,0.2706520316494074
uni_rank_maxlabor_norsl,Uni|Rank_maxlabor|noRSL,#d1d95b,72924296.3637369,12.297232217278026,1.5967815932584244,0.0,0.0,0.0,38511.88,0.2700899865323589
uni_map_norsl,Uni|Map|noRSL,#bbd95b,72905672.62602742,12.293921698032404,1.598924190146591,0.0,0.0,0.0,38512.026666666665,0.2700210097260275
uni_map_rank_norsl,Uni|Map_rank|noRSL,#a5d95b,72902231.61632904,12.293459610278745,1.6006965176172392,0.0,0.0,0.0,38511.746666666666,0.2700082652456631
uni_cluster_map_norsl,Uni|CluMap|noRSL,#8fd95b,73077065.15997224,12.138156161951603,1.5553561895973096,0.0,0.0,0.0,38845.573333333334,0.27065579688878605
uni_cluster_map_rank_norsl,Uni|CluMapRk|noRSL,#79d95b,73064683.45065108,12.14207535259385,1.55940325036914,0.0,0.0,0.0,38833.73333333333,0.2706099387061151
uni_tmin_norsl,Uni|TripMin|noRSL,#62d95b,72908538.82661307,12.294722223524767,1.5973708842095429,0.0,0.0,0.0,38511.41333333333,0.27003162528375213
uni_tmax_norsl,Uni|TripMax|noRSL,#5bd96a,72923019.79227386,12.297160032221182,1.5968203733447948,0.0,0.0,0.0,38511.41333333333,0.27008525848990317
uni_cmax_norsl,Uni|MaxClu|noRSL,#5bd980,72905392.908254,12.294154403199887,1.5986727274654045,0.0,0.0,0.0,38511.76,0.27001997373427405
