strategy,initial,assignment,reslot,metric,n_batches,baseline_median,arm_median,pct_median,ci_lo,ci_hi,hedges_g,rank_biserial,p_wilcoxon,p_holm,better
uni_rank_random_norsl,Uni,Rank_random,noRSL,production_time,75,969423.2591213167,970277.3163856991,0.013337711824436552,0.00047949884102710546,0.03428420914999944,0.19140622888170708,0.24612612612612614,0.06580626111083432,0.3948375666650059,arm
uni_rank_popularity_norsl,Uni,Rank_popularity,noRSL,production_time,75,969423.2591213167,969794.875719102,0.025764107531315503,0.01119690653399264,0.04060971785107463,0.4027549550651413,0.4500900900900901,0.0007673006211042347,0.010742208695459287,arm
uni_rank_labor_norsl,Uni,Rank_labor,noRSL,production_time,75,969423.2591213167,969821.423891245,0.00883451386522244,-0.005399546098816617,0.03399132553191577,0.19005946719789735,0.21009009009009008,0.11632690182030521,0.513721873365119,arm
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,production_time,75,969423.2591213167,969405.4325268888,0.0227011718849713,0.00774160681068002,0.0328507000986033,0.28728454001007075,0.3563963963963964,0.007722027953670484,0.07722027953670484,arm
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,production_time,75,969423.2591213167,972323.4599929109,-0.1984197067677229,-0.22742781654385433,-0.17725523853171082,-1.8411676711438183,-0.9978378378378379,8.742796982059338e-14,2.4479831549766147e-12,baseline
uni_rank_maxlabor_norsl,Uni,Rank_maxlabor,noRSL,production_time,75,969423.2591213167,969142.0757517898,0.006396764609513427,-0.012825162089244653,0.018428597904326348,0.15164418137862987,0.12936936936936938,0.33353961033242707,0.6670792206648541,arm
uni_map_norsl,Uni,Map,noRSL,production_time,75,969423.2591213167,969559.9006424267,0.024231956095574405,0.018703392527341028,0.053186445986693254,0.5042536157354484,0.5545945945945946,3.391054951366105e-05,0.0005764793417322379,arm
uni_map_rank_norsl,Uni,Map_rank,noRSL,production_time,75,969423.2591213167,969589.9728828543,0.04010418100296594,0.02786428141794843,0.0565407343750792,0.6177048459642883,0.6374774774774775,1.8884411982954927e-06,3.7768823965909854e-05,arm
uni_cluster_map_norsl,Uni,CluMap,noRSL,production_time,75,969423.2591213167,972246.8821753112,-0.19281833050448094,-0.22851666607863014,-0.1584514976924503,-1.786366170233696,-0.9935135135135135,1.1167356478386749e-13,3.015186249164422e-12,baseline
uni_cluster_map_rank_norsl,Uni,CluMapRk,noRSL,production_time,75,969423.2591213167,972160.3218102516,-0.1798203585704582,-0.21112185372908027,-0.15300965557577081,-1.689045946018179,-0.9935135135135135,1.1167356478386749e-13,3.015186249164422e-12,baseline
uni_tmin_norsl,Uni,TripMin,noRSL,production_time,75,969423.2591213167,969229.2235764288,0.027100056772536567,0.015253391337467994,0.046537408737582955,0.47449425413180935,0.5344144144144144,6.479387437213177e-05,0.0010367019899541084,arm
uni_tmax_norsl,Uni,TripMax,noRSL,production_time,75,969423.2591213167,969494.0018227792,0.002547678265784613,-0.006716510037314677,0.023869147229712527,0.17927414330001457,0.17693693693693693,0.18597960775941236,0.5579388232782371,arm
uni_cmax_norsl,Uni,MaxClu,noRSL,production_time,75,969423.2591213167,968910.7200098578,0.03603979171928238,0.007611239790636806,0.054295408910730175,0.567587156902108,0.5596396396396396,2.8744861208281437e-05,0.0005174075017490659,arm
uni_cmin_norsl,Uni,MinClu,noRSL,production_time,75,969423.2591213167,968341.69842812,0.023777466350526466,0.005231708831483033,0.049078610500842536,0.34805935463194204,0.3801801801801802,0.004486427412608111,0.04935070153868922,arm
