strategy,label,color,total_production_time,production_time_per_item,mean_completion_rate,mean_queue_depth,max_queue_depth,mean_in_transit,mean_reorder_placements,mean_batch_prod_hours
uni_fifo_norsl,Uni|FIFO|noRSL,#d95b5b,452998965.3431497,178.66426869871762,0.12620852351353337,40.36,132.0,0.0,11225.333333333334,1.6777739457153695
uni_rank_random_norsl,Uni|Rank_random|noRSL,#d9715b,450572405.50158393,177.74374910070748,0.12703437112020147,26.56,82.0,0.0,11225.266666666666,1.6687866870429036
uni_rank_popularity_norsl,Uni|Rank_popularity|noRSL,#d9875b,449930377.2075695,177.41531236731498,0.1279477716900748,16.613333333333333,73.0,0.0,11225.426666666666,1.6664088044724794
uni_rank_labor_norsl,Uni|Rank_labor|noRSL,#d99e5b,442057567.09112555,174.33945667247679,0.13018214200724618,21.133333333333333,81.0,0.0,11224.746666666666,1.6372502484856502
uni_rank_cartlabor_norsl,Uni|Rank_cartlabor|noRSL,#d9b45b,442051374.0870993,174.3401083098505,0.1300847681864744,21.133333333333333,81.0,0.0,11224.306666666667,1.6372273114337013
uni_rank_minlabor_norsl,Uni|Rank_minlabor|noRSL,#d9ca5b,442978370.1290905,174.4488035217107,0.1199797961687766,22.626666666666665,90.0,0.0,11236.493333333334,1.6406606301077424
uni_rank_maxlabor_norsl,Uni|Rank_maxlabor|noRSL,#d1d95b,466181333.43731993,183.60961875544555,0.12200008943427763,20.44,81.0,0.0,11234.12,1.7265975312493331
uni_map_norsl,Uni|Map|noRSL,#bbd95b,443779819.16484725,174.9767248942905,0.12923822235662305,20.733333333333334,75.0,0.0,11227.146666666667,1.6436289598698048
uni_map_rank_norsl,Uni|Map_rank|noRSL,#a5d95b,443940924.4666924,175.0509448160054,0.12937221402514945,21.44,87.0,0.0,11226.813333333334,1.6442256461729348
uni_cluster_map_norsl,Uni|CluMap|noRSL,#8fd95b,444533595.9569346,175.02852452337746,0.10590066920786158,24.133333333333333,82.0,0.0,11240.933333333332,1.6464207257664243
uni_cluster_map_rank_norsl,Uni|CluMapRk|noRSL,#79d95b,445821353.7625833,175.54592789281867,0.10750372260606954,26.6,96.0,0.0,11240.12,1.651190199120679
uni_tmin_norsl,Uni|TripMin|noRSL,#62d95b,450257275.6316588,177.62398985031257,0.12712389349341627,27.16,89.0,0.0,11225.133333333333,1.667619539376514
uni_tmax_norsl,Uni|TripMax|noRSL,#5bd96a,456312843.43024176,179.94040146923206,0.12542576012236492,23.013333333333332,83.0,0.0,11227.346666666666,1.6900475682601548
uni_cmax_norsl,Uni|MaxClu|noRSL,#5bd980,451165159.6541332,178.03467984593334,0.11329542226925055,47.54666666666667,152.0,0.0,11221.4,1.670982072793086
uni_cmin_norsl,Uni|MinClu|noRSL,#5bd996,451874799.88463765,178.00283775928358,0.12414525353554637,47.21333333333333,146.0,0.0,11235.253333333334,1.6736103699431024
uni_comp_norsl,Uni|Compact|noRSL,#5bd9ac,452627544.12973046,178.17267374212292,0.10777396913141099,23.466666666666665,77.0,0.0,11242.546666666667,1.6763983115915944
uni_expn_norsl,Uni|Expand|noRSL,#5bd9c3,453420594.1040454,178.567794631964,0.12305883819836633,27.733333333333334,89.0,0.0,11240.76,1.6793355337186866
opt_fifo_norsl,Opt|FIFO|noRSL,#5bd9d9,452998965.3431497,178.66426869871762,0.12620852351353337,40.36,132.0,0.0,11225.333333333334,1.6777739457153695
opt_rank_random_norsl,Opt|Rank_random|noRSL,#5bc3d9,450375184.2982932,177.65795893456675,0.1272440124954242,24.026666666666667,83.0,0.0,11225.8,1.6680562381418267
opt_rank_popularity_norsl,Opt|Rank_popularity|noRSL,#5bacd9,449684707.6830437,177.33032778362036,0.12782136117448478,15.413333333333334,75.0,0.0,11224.613333333333,1.6654989173446062
opt_rank_labor_norsl,Opt|Rank_labor|noRSL,#5b96d9,440984861.5973282,173.91996787983422,0.1304859226317445,20.72,77.0,0.0,11224.173333333334,1.6332772651752896
opt_rank_cartlabor_norsl,Opt|Rank_cartlabor|noRSL,#5b80d9,440978215.35139227,173.92976256877853,0.1308704984528345,20.72,77.0,0.0,11223.72,1.6332526494496011
opt_rank_minlabor_norsl,Opt|Rank_minlabor|noRSL,#5b6ad9,442084519.2108079,174.06499069040896,0.11580201091415006,20.8,73.0,0.0,11237.64,1.6373500711511404
opt_rank_maxlabor_norsl,Opt|Rank_maxlabor|noRSL,#625bd9,467615546.1529644,184.1619477010707,0.12177203949497774,22.48,90.0,0.0,11236.466666666667,1.7319094301961644
opt_map_norsl,Opt|Map|noRSL,#795bd9,442384373.76151735,174.40637006346003,0.13010033188246475,19.48,87.0,0.0,11228.373333333333,1.6384606435611753
opt_map_rank_norsl,Opt|Map_rank|noRSL,#8f5bd9,442597367.87185,174.51270128493923,0.1295528046116251,18.56,78.0,0.0,11227.2,1.6392495106364815
opt_cluster_map_norsl,Opt|CluMap|noRSL,#a55bd9,443533929.67365044,174.60089119305306,0.10993305425482625,24.213333333333335,81.0,0.0,11242.72,1.6427182580505573
opt_cluster_map_rank_norsl,Opt|CluMapRk|noRSL,#bb5bd9,445363828.4478213,175.33843319898605,0.10694133599150377,22.733333333333334,79.0,0.0,11241.306666666667,1.6494956609178568
opt_tmin_norsl,Opt|TripMin|noRSL,#d15bd9,450183553.17911124,177.58916200222774,0.1271701664444541,25.653333333333332,84.0,0.0,11225.04,1.6673464932559676
