strategy,initial,assignment,reslot,metric,n_batches,baseline_median,arm_median,pct_median,ci_lo,ci_hi,hedges_g,rank_biserial,p_wilcoxon,p_holm,better
uni_rank_random_norsl,Uni,Rank_random,noRSL,production_time,75,6214481.142823687,6181944.830790997,0.5363126320007505,0.4920207100868493,0.604276660999896,2.1177137558028947,0.9985585585585586,8.392480376256407e-14,1.7425230627156523e-12,arm
uni_rank_popularity_norsl,Uni,Rank_popularity,noRSL,production_time,75,6214481.142823687,6165075.283518112,0.7191497160626981,0.62277840976112,0.7686113030089978,2.182763793755431,1.0,7.732733053009578e-14,1.7425230627156523e-12,arm
uni_rank_labor_norsl,Uni,Rank_labor,noRSL,production_time,75,6214481.142823687,6057928.653372105,2.450819294428486,2.312823254219593,2.5191562393324527,3.008723304623089,1.0,7.732733053009578e-14,1.7425230627156523e-12,arm
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,production_time,75,6214481.142823687,6057179.349292501,2.4491202308398687,2.3286523723365264,2.5321696685519632,3.0272534331144225,1.0,7.732733053009578e-14,1.7425230627156523e-12,arm
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,production_time,75,6214481.142823687,6066377.121077396,2.2121204550915587,2.142609974294213,2.3171511726720184,2.9630170494182186,1.0,7.732733053009578e-14,1.7425230627156523e-12,arm
uni_rank_maxlabor_norsl,Uni,Rank_maxlabor,noRSL,production_time,75,6214481.142823687,6395519.717709855,-2.981835141023754,-3.091133955706219,-2.8779854695388987,-3.0276051572857403,-1.0,7.732733053009578e-14,1.7425230627156523e-12,baseline
uni_map_norsl,Uni,Map,noRSL,production_time,75,6214481.142823687,6081259.099149041,2.0840537194337205,1.9568261710151988,2.1469969141819094,2.84112730356969,1.0,7.732733053009578e-14,1.7425230627156523e-12,arm
uni_map_rank_norsl,Uni,Map_rank,noRSL,production_time,75,6214481.142823687,6084533.669023487,2.0313001330823925,1.966073018574398,2.13647174569351,2.810316324711447,1.0,7.732733053009578e-14,1.7425230627156523e-12,arm
uni_cluster_map_norsl,Uni,CluMap,noRSL,production_time,75,6214481.142823687,6085867.029534477,1.9458912722111081,1.7982836027328288,2.074955073467638,2.7189854569649374,1.0,7.732733053009578e-14,1.7425230627156523e-12,arm
uni_cluster_map_rank_norsl,Uni,CluMapRk,noRSL,production_time,75,6214481.142823687,6109655.084191624,1.6141493695102185,1.5452063287776314,1.7022646786661175,2.680745715665487,0.9992792792792793,8.055970661358803e-14,1.7425230627156523e-12,arm
uni_tmin_norsl,Uni,TripMin,noRSL,production_time,75,6214481.142823687,6169181.502653514,0.5934310678695757,0.5695567389136953,0.6540530595127679,2.3244372230136325,1.0,7.732733053009578e-14,1.7425230627156523e-12,arm
uni_tmax_norsl,Uni,TripMax,noRSL,production_time,75,6214481.142823687,6246035.632577577,-0.7501520767119939,-0.8033750976732115,-0.7067052514970956,-2.4413056889676645,-1.0,7.732733053009578e-14,1.7425230627156523e-12,baseline
uni_cmax_norsl,Uni,MaxClu,noRSL,production_time,75,6214481.142823687,6178451.7955845585,0.4173808696032587,0.38207958527593855,0.4717309960958033,1.8686749799700153,0.9963963963963964,9.487096441797489e-14,1.7425230627156523e-12,arm
uni_cmin_norsl,Uni,MinClu,noRSL,production_time,75,6214481.142823687,6198867.061708181,0.25407831228804756,0.20607217480308163,0.3224089411162873,1.3151772687073346,0.961081081081081,6.776078794498384e-13,4.743255156148869e-12,arm
uni_comp_norsl,Uni,Compact,noRSL,production_time,75,6214481.142823687,6197724.244300707,0.08108552875279862,0.006126027873786472,0.10901563256359018,0.43655677026699535,0.49405405405405406,0.00022166742160386574,0.0005791060607549337,arm
