strategy,label,color,total_production_time,production_time_per_item,mean_completion_rate,mean_queue_depth,max_queue_depth,mean_in_transit,mean_reorder_placements,mean_batch_prod_hours
uni_fifo_norsl,Uni|FIFO|noRSL,#d95b5b,63605541.476660155,12.823418658759074,1.5269061292924928,369.4266666666667,7712.0,157163.62666666668,34562.49333333333,0.23557607954318577
uni_rank_random_norsl,Uni|Rank_random|noRSL,#d9715b,63608434.04067355,12.819075891497596,1.5279839918960338,378.06666666666666,8033.0,157022.54666666666,34548.54666666667,0.23558679274323535
uni_rank_popularity_norsl,Uni|Rank_popularity|noRSL,#d9875b,63681963.48762271,12.82009509842214,1.5293368731019434,365.37333333333333,7763.0,157005.01333333334,34583.92,0.23585912402823225
uni_rank_labor_norsl,Uni|Rank_labor|noRSL,#d99e5b,63680671.350866236,12.820325346725191,1.5298293726731005,367.61333333333334,7745.0,156995.96,34582.973333333335,0.23585433833654162
uni_rank_cartlabor_norsl,Uni|Rank_cartlabor|noRSL,#d9b45b,63677413.96390046,12.8191688911352,1.5300764163975715,363.8933333333333,7673.0,157001.42666666667,34584.16,0.23584227394037208
uni_rank_minlabor_norsl,Uni|Rank_minlabor|noRSL,#d9ca5b,63678433.786848366,12.706629237629063,1.5206979928715145,328.88,7152.0,158469.21333333335,34765.986666666664,0.23584605106240136
uni_rank_maxlabor_norsl,Uni|Rank_maxlabor|noRSL,#d1d95b,63681220.87525361,12.819788170600894,1.5289664296171492,364.29333333333335,7733.0,157005.26666666666,34584.13333333333,0.23585637361205042
uni_map_norsl,Uni|Map|noRSL,#bbd95b,63516739.90706192,12.816010970653203,1.5299556114855934,492.8933333333333,8422.0,157072.72,34517.12,0.2352471848409701
uni_map_rank_norsl,Uni|Map_rank|noRSL,#a5d95b,63493771.63630398,12.814026749090264,1.5309004676213867,528.4933333333333,8726.0,157066.69333333333,34508.37333333334,0.23516211717149624
uni_cluster_map_norsl,Uni|CluMap|noRSL,#8fd95b,63580106.09955663,12.649019364338425,1.5241091234444395,308.04,6821.0,159055.97333333333,34828.48,0.23548187444280236
uni_cluster_map_rank_norsl,Uni|CluMapRk|noRSL,#79d95b,63558250.82273548,12.656591460376168,1.5234390113605427,346.6,7433.0,158892.09333333332,34793.37333333334,0.23540092897309436
uni_tmin_norsl,Uni|TripMin|noRSL,#62d95b,63596699.18943242,12.81958902405459,1.5293397803703406,380.04,8111.0,156991.6,34543.666666666664,0.23554333033123118
uni_tmax_norsl,Uni|TripMax|noRSL,#5bd96a,63614481.15067028,12.822821916767039,1.528523670119838,377.81333333333333,7993.0,156997.25333333333,34544.653333333335,0.235609189446927
uni_cmax_norsl,Uni|MaxClu|noRSL,#5bd980,63584013.04572457,12.822164902582415,1.5332200356825176,369.9866666666667,7700.0,157123.24,34557.17333333333,0.2354963446137947
uni_cmin_norsl,Uni|MinClu|noRSL,#5bd996,63594961.62847756,12.82428483389573,1.528508446122132,373.53333333333336,7720.0,157128.89333333334,34556.32,0.23553689492028723
uni_comp_norsl,Uni|Compact|noRSL,#5bd9ac,63532028.668811895,12.631362807324066,1.5268370415441486,276.6533333333333,6235.0,159140.05333333334,34853.986666666664,0.23530380988448849
uni_expn_norsl,Uni|Expand|noRSL,#5bd9c3,63710474.989505,12.653326848726445,1.5248316876336312,226.4,5632.0,159264.22666666665,34911.13333333333,0.23596472218335185
opt_fifo_norsl,Opt|FIFO|noRSL,#5bd9d9,63605541.476660155,12.823418658759074,1.5269061292924928,369.4266666666667,7712.0,157163.62666666668,34562.49333333333,0.23557607954318577
opt_rank_random_norsl,Opt|Rank_random|noRSL,#5bc3d9,63599770.312714644,12.818203025089636,1.5274320036037914,380.28,8056.0,157015.34666666668,34546.46666666667,0.2355547048619061
