strategy,initial,assignment,reslot,metric,n_batches,baseline_median,arm_median,pct_median,ci_lo,ci_hi,hedges_g,rank_biserial,p_wilcoxon,p_holm,better
uni_rank_random_norsl,Uni,Rank_random,noRSL,production_time,75,869487.5247966541,868809.7001201897,0.032083225362291724,-0.0038787803439022674,0.0779568029596457,-0.013849450288146112,0.16108108108108107,0.22857132460586516,1.0,arm
uni_rank_popularity_norsl,Uni,Rank_popularity,noRSL,production_time,75,869487.5247966541,871045.6000493543,-0.003598579160746072,-0.04782946010173656,0.030689817774840953,-0.3130824409447262,-0.169009009009009,0.20647893470102818,1.0,baseline
uni_rank_labor_norsl,Uni,Rank_labor,noRSL,production_time,75,869487.5247966541,870504.9336457843,0.016912940572505395,-0.019488695768360684,0.03432808983909374,-0.30487141874179513,-0.08252252252252253,0.5373412461430498,1.0,arm
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,production_time,75,869487.5247966541,869933.9603061593,0.0133500658465824,-0.019803249618356392,0.049940873095655626,-0.2855325065601997,-0.03711711711711712,0.7814402364143577,1.0,arm
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,production_time,75,869487.5247966541,870301.7158178767,0.009320414473373374,-0.03955749338461549,0.05544976363819508,-0.25621875032456953,-0.062342342342342344,0.6412184299738987,1.0,arm
uni_rank_maxlabor_norsl,Uni,Rank_maxlabor,noRSL,production_time,75,869487.5247966541,871129.3731915558,0.000813327102639402,-0.04334583939812953,0.0428451220481795,-0.301299958289871,-0.14882882882882884,0.2659386065961342,1.0,arm
uni_map_norsl,Uni,Map,noRSL,production_time,75,869487.5247966541,864262.2630268616,0.08868945708963297,0.06441485509743479,0.12333775071000569,0.5741823760502706,0.7563963963963964,1.568437415437298e-08,4.548468504768164e-07,arm
uni_map_rank_norsl,Uni,Map_rank,noRSL,production_time,75,869487.5247966541,863549.7682074851,0.10916435923212268,0.0884779282477022,0.1359838947760953,0.5959941293271757,0.827027027027027,6.335341734328112e-10,2.0906627723282767e-08,arm
uni_cluster_map_norsl,Uni,CluMap,noRSL,production_time,75,869487.5247966541,869639.4762833421,0.1007699211704389,-0.003251451857684103,0.1460169373750771,0.14471418978791964,0.2554954954954955,0.05616217209431242,1.0,arm
uni_cluster_map_rank_norsl,Uni,CluMapRk,noRSL,production_time,75,869487.5247966541,868622.4806737633,0.11980255364271619,0.06469397139659316,0.16789108550568935,0.25831640832190156,0.4327927927927928,0.001216277469496689,0.029190659267920534,arm
