strategy,label,color,total_production_time,production_time_per_item,mean_completion_rate,mean_queue_depth,max_queue_depth,mean_in_transit,mean_reorder_placements,mean_batch_prod_hours
uni_fifo_norsl,Uni|FIFO|noRSL,#d95b5b,370492587.1724608,189.0777654247985,0.11614071171581711,10244.8,20333.0,64084.4,9706.48,1.3721947673054105
uni_rank_random_norsl,Uni|Rank_random|noRSL,#d9715b,372083220.5653814,190.84958854203595,0.11552368907405255,10854.093333333334,21680.0,63240.10666666667,9642.36,1.3780860020940053
uni_rank_popularity_norsl,Uni|Rank_popularity|noRSL,#d9875b,375497286.05146,185.2249530405525,0.1203514501239338,10131.666666666666,20273.0,65167.85333333333,9936.84,1.3907306890794815
uni_rank_labor_norsl,Uni|Rank_labor|noRSL,#d99e5b,368740314.5263295,182.69837577562987,0.12306290181955937,10110.586666666666,20248.0,64919.56,9932.6,1.3657048686160351
uni_rank_cartlabor_norsl,Uni|Rank_cartlabor|noRSL,#d9b45b,368768222.8951763,182.7011597148746,0.12311999220094459,10094.24,20201.0,64917.62666666666,9932.586666666666,1.3658082329450973
uni_rank_minlabor_norsl,Uni|Rank_minlabor|noRSL,#d9ca5b,369989323.7549712,182.9328259956882,0.11718718550205151,10076.493333333334,20164.0,65094.21333333333,9954.973333333333,1.3703308287221154
uni_rank_maxlabor_norsl,Uni|Rank_maxlabor|noRSL,#d1d95b,387029681.4099957,191.35738190273545,0.11563432050333326,10073.706666666667,20167.0,65081.90666666667,9954.866666666667,1.4334432644814654
uni_map_norsl,Uni|Map|noRSL,#bbd95b,367409914.7506571,184.99185320212916,0.12015820860108126,10665.68,21691.0,64537.81333333333,9765.186666666666,1.3607774620394706
uni_map_rank_norsl,Uni|Map_rank|noRSL,#a5d95b,367333030.3765901,185.00465384958912,0.12028393126647229,10670.586666666666,21680.0,64514.89333333333,9761.106666666667,1.3604927050984816
uni_cluster_map_norsl,Uni|CluMap|noRSL,#8fd95b,368689796.7684004,188.32794015449772,0.10441643573960907,10808.52,21607.0,63607.50666666667,9683.933333333332,1.3655177658088904
uni_cluster_map_rank_norsl,Uni|CluMapRk|noRSL,#79d95b,368753771.57724845,188.5094849729436,0.10552578809584627,10840.4,21651.0,63547.386666666665,9673.946666666667,1.3657547095453646
uni_tmin_norsl,Uni|TripMin|noRSL,#62d95b,372087070.778003,190.92804763155968,0.11662753419861763,10888.613333333333,21737.0,63243.16,9638.413333333334,1.3781002621407517
uni_tmax_norsl,Uni|TripMax|noRSL,#5bd96a,375171780.938996,192.29549559998503,0.11544147511960233,10893.906666666666,21783.0,63317.426666666666,9646.546666666667,1.389525114588874
uni_cmax_norsl,Uni|MaxClu|noRSL,#5bd980,369592976.9586119,188.78215165614634,0.11067631603170099,10250.626666666667,20408.0,64003.573333333334,9699.32,1.3688628776244887
uni_cmin_norsl,Uni|MinClu|noRSL,#5bd996,371155814.1549916,188.93913427627066,0.11658639327095048,10228.56,20282.0,64250.44,9729.76,1.374651163537006
uni_comp_norsl,Uni|Compact|noRSL,#5bd9ac,373946263.50676113,191.03335467361356,0.10318068942373608,10809.573333333334,21598.0,63600.94666666666,9684.373333333333,1.3849861611361522
uni_expn_norsl,Uni|Expand|noRSL,#5bd9c3,374690248.9720896,191.2613927642863,0.1148332935398345,10781.76,21597.0,63661.86666666667,9696.24,1.3877416628595909
opt_fifo_norsl,Opt|FIFO|noRSL,#5bd9d9,370492587.1724608,189.0777654247985,0.11614071171581711,10244.8,20333.0,64084.4,9706.48,1.3721947673054105
opt_rank_random_norsl,Opt|Rank_random|noRSL,#5bc3d9,371950001.2941667,190.84067448372028,0.11498536345631405,10869.533333333333,21718.0,63227.16,9641.653333333334,1.3775925973858025
opt_rank_popularity_norsl,Opt|Rank_popularity|noRSL,#5bacd9,375361132.5527629,185.24176580862797,0.12065187523404909,10142.413333333334,20297.0,65135.45333333333,9933.16,1.390226416862085
opt_rank_labor_norsl,Opt|Rank_labor|noRSL,#5b96d9,367457254.62996423,182.0973085761031,0.12340773590197988,10097.093333333334,20192.0,64899.48,9931.16,1.3609527949257936
opt_rank_cartlabor_norsl,Opt|Rank_cartlabor|noRSL,#5b80d9,367496609.8940549,182.09984609029505,0.12343769602534108,10088.96,20197.0,64903.346666666665,9931.226666666667,1.3610985551631662
opt_rank_minlabor_norsl,Opt|Rank_minlabor|noRSL,#5b6ad9,369156806.66873837,182.45165561074256,0.1121623833806864,10075.853333333333,20150.0,65120.64,9959.146666666667,1.3672474321064385
opt_rank_maxlabor_norsl,Opt|Rank_maxlabor|noRSL,#625bd9,388512910.426948,192.04391724291835,0.11446525521463707,10065.346666666666,20185.0,65102.386666666665,9957.493333333334,1.4389367052849926
opt_map_norsl,Opt|Map|noRSL,#795bd9,366305119.6465269,184.38898012952194,0.12068155707206644,10608.986666666666,21581.0,64559.64,9769.24,1.35668562832047
opt_map_rank_norsl,Opt|Map_rank|noRSL,#8f5bd9,366295260.3573169,184.48449708679794,0.120108464472823,10655.08,21674.0,64523.18666666667,9762.32,1.356649112434507
opt_cluster_map_norsl,Opt|CluMap|noRSL,#a55bd9,367819186.1747413,187.91970564600356,0.10249531871253795,10818.613333333333,21631.0,63594.44,9681.52,1.3622932821286715
opt_cluster_map_rank_norsl,Opt|CluMapRk|noRSL,#bb5bd9,368205972.68020886,188.1327907172683,0.09939321918666424,10819.906666666666,21669.0,63589.88,9679.96,1.3637258247415143
opt_tmin_norsl,Opt|TripMin|noRSL,#d15bd9,371905885.02356434,190.8372305915421,0.116249227919748,10871.693333333333,21732.0,63233.693333333336,9638.613333333333,1.377429203790979
opt_tmax_norsl,Opt|TripMax|noRSL,#d95bca,375583833.17432266,192.46989744455115,0.11529266056953916,10890.253333333334,21816.0,63323.346666666665,9647.213333333333,1.391051233978973
opt_cmax_norsl,Opt|MaxClu|noRSL,#d95bb4,369654558.9734615,188.8009735776189,0.10529495986057251,10243.733333333334,20361.0,64020.013333333336,9700.28,1.3690909591609683
opt_cmin_norsl,Opt|MinClu|noRSL,#d95b9e,371096001.8688965,188.97131071368196,0.11594378891566177,10273.346666666666,20437.0,64243.253333333334,9726.213333333333,1.3744296365514685
opt_comp_norsl,Opt|Compact|noRSL,#d95b87,374097550.0929689,190.88966601640044,0.09948196878485495,10784.12,21532.0,63682.73333333333,9694.693333333333,1.3855464818258107
opt_expn_norsl,Opt|Expand|noRSL,#d95b71,374798299.0590303,191.24723514792657,0.11440651670294379,10777.826666666666,21524.0,63684.666666666664,9698.306666666667,1.388141848366779
