strategy,initial,assignment,reslot,metric,n_batches,baseline_median,arm_median,pct_median,ci_lo,ci_hi,hedges_g,rank_biserial,p_wilcoxon,p_holm,better
uni_rank_random_norsl,Uni,Rank_random,noRSL,production_time,75,5015616.740497269,5029511.250785726,-0.3879983597639652,-0.6151482235637001,0.0003683498013185286,-0.41237125575576644,-0.4018018018018018,0.0026699528667193913,0.02402957580047452,baseline
uni_rank_popularity_norsl,Uni,Rank_popularity,noRSL,production_time,75,5015616.740497269,5083129.46771203,-1.2744237349583056,-1.901805217828899,-1.045529187854687,-0.8449072898703489,-0.7585585585585586,1.4274267844230349e-08,2.85485356884607e-07,baseline
uni_rank_labor_norsl,Uni,Rank_labor,noRSL,production_time,75,5015616.740497269,4954848.059625431,0.46098056692136063,0.010622434331742594,0.7245420277342096,0.28455630179000463,0.31747747747747745,0.017640565685343015,0.08820282842671508,arm
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,production_time,75,5015616.740497269,4950753.305987128,0.3846073011229415,0.0,0.7346026388454736,0.28308279472069586,0.30954954954954955,0.020677716941558788,0.08820282842671508,arm
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,production_time,75,5015616.740497269,4978647.238548213,0.046591105504002105,-0.46251293068713367,0.5516064954678745,0.07946814188755866,0.06954954954954955,0.6031553943954839,1.0,arm
uni_rank_maxlabor_norsl,Uni,Rank_maxlabor,noRSL,production_time,75,5015616.740497269,5295950.839119563,-4.467901652722458,-4.900310490741658,-3.880050840422516,-2.0477601365203824,-1.0,7.732733053009578e-14,2.474474576963065e-12,baseline
uni_map_norsl,Uni,Map,noRSL,production_time,75,5015616.740497269,4979075.996763332,0.8377423226479157,0.6476100629011537,1.08147974942594,1.059457294943802,0.8652252252252253,9.971882893346842e-11,2.393251894403242e-09,arm
uni_map_rank_norsl,Uni,Map_rank,noRSL,production_time,75,5015616.740497269,4993082.4222887,0.967694071141316,0.6418682172108733,1.1143765325310906,1.092104616323784,0.8767567567567568,5.6176639187559105e-11,1.4044159796889777e-09,arm
uni_cluster_map_norsl,Uni,CluMap,noRSL,production_time,75,5015616.740497269,4960518.164917206,0.6126549324897888,0.20812017417323625,0.8856867354230055,0.47346135080798807,0.5055855855855856,0.00015736713947440495,0.0022031399526416693,arm
uni_cluster_map_rank_norsl,Uni,CluMapRk,noRSL,production_time,75,5015616.740497269,4993141.264004125,0.5867624051719857,0.24124528224698086,0.898285741404245,0.504057066709684,0.5272072072072073,8.122281785804294e-05,0.0012183422678706441,arm
uni_tmin_norsl,Uni,TripMin,noRSL,production_time,75,5015616.740497269,5032271.28140889,-0.41482877243652244,-0.7162167378491142,-0.1587392574195869,-0.42502150376981884,-0.4284684684684685,0.0013614016960175146,0.01497541865619266,baseline
uni_tmax_norsl,Uni,TripMax,noRSL,production_time,75,5015616.740497269,5077833.108259172,-1.1625346472086227,-1.316040915947208,-0.9322792789784694,-1.2342770635115043,-0.9430630630630631,1.7995167029293316e-12,5.3985501087879946e-11,baseline
uni_cmax_norsl,Uni,MaxClu,noRSL,production_time,75,5015616.740497269,5011741.657005488,0.1901488180756632,0.09631689574760638,0.2928987165923487,0.7863708659108848,0.7686486486486487,9.165673812626892e-09,1.9247915006516473e-07,arm
uni_cmin_norsl,Uni,MinClu,noRSL,production_time,75,5015616.740497269,5044198.199405272,-0.226782096654843,-0.30206978267021245,-0.10851732196265305,-0.39249365548757637,-0.41621621621621624,0.0018637366251685276,0.018637366251685276,baseline
uni_comp_norsl,Uni,Compact,noRSL,production_time,75,5015616.740497269,5049769.109156658,-0.8102297603703361,-1.0170343706624694,-0.3960072863317403,-0.8589420887148183,-0.8183783783783783,9.52299962836042e-10,2.0950599182392923e-08,baseline
uni_expn_norsl,Uni,Expand,noRSL,production_time,75,5015616.740497269,5063029.181246174,-1.1485589643016916,-1.309087002870302,-0.7951600962950692,-1.0319617733374995,-0.9063063063063063,1.248811254008169e-11,3.3717903858220564e-10,baseline
opt_fifo_norsl,Opt,FIFO,noRSL,production_time,75,5015616.740497269,5015616.740497269,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
opt_rank_random_norsl,Opt,Rank_random,noRSL,production_time,75,5015616.740497269,5034869.924990247,-0.4353680854778185,-0.7651473218007844,-0.05219110548671167,-0.3651834712974457,-0.3698245614035088,0.005388314054619306,0.04310651243695445,baseline
opt_rank_popularity_norsl,Opt,Rank_popularity,noRSL,production_time,75,5015616.740497269,5082431.481098284,-1.5727751594759334,-1.9628207899712,-0.5393925236566864,-0.7739253298054105,-0.727719298245614,4.3520150011089154e-08,8.26882850210694e-07,baseline
opt_rank_labor_norsl,Opt,Rank_labor,noRSL,production_time,75,5015616.740497269,4948843.449804064,0.6666511027802935,0.06322304367158617,1.3326889743424013,0.4312567110779137,0.43087719298245614,0.0011858499855207415,0.014230199826248898,arm
