pair,config,channel,plan_key,plan_label,assignment,ss_prod_hours,saving_abs,saving_pct,is_baseline,is_best
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_fifo_norsl,Uni|FIFO|noRSL,FIFO,963277.9151673471,0.0,0.0,True,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_random_norsl,Uni|Rank_random|noRSL,Rank_random,963191.7011160234,86.21405132371001,0.008950070375975798,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_popularity_norsl,Uni|Rank_popularity|noRSL,Rank_popularity,963140.7353150402,137.1798523068428,0.0142409423227575,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_labor_norsl,Uni|Rank_labor|noRSL,Rank_labor,963224.5953867857,53.3197805613745,0.005535243746568344,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_cartlabor_norsl,Uni|Rank_cartlabor|noRSL,Rank_cartlabor,963077.2430382426,200.67212910449598,0.020832215287488853,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_minlabor_norsl,Uni|Rank_minlabor|noRSL,Rank_minlabor,965531.8887369013,-2253.9735695542768,-0.23398995596849134,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_maxlabor_norsl,Uni|Rank_maxlabor|noRSL,Rank_maxlabor,963189.9924367191,87.92273062793538,0.009127452134378152,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_norsl,Uni|Map|noRSL,Map,962879.2311733388,398.6839940082282,0.041388262694568904,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_rank_norsl,Uni|Map_rank|noRSL,Map_rank,962860.237007704,417.678159643081,0.04336008882447172,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_norsl,Uni|CluMap|noRSL,CluMap,965484.0441198717,-2206.1289525246248,-0.2290231009958701,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,Uni|CluMapRk|noRSL,CluMapRk,965367.666583135,-2089.751415787963,-0.2169416928265108,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_tmin_norsl,Uni|TripMin|noRSL,TripMin,963051.0485020287,226.86666531837545,0.02355152773111825,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_tmax_norsl,Uni|TripMax|noRSL,TripMax,963237.8844886575,40.03067868959624,0.004155672839508819,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cmax_norsl,Uni|MaxClu|noRSL,MaxClu,962999.8979270518,278.01724029530305,0.028861581472778192,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cmin_norsl,Uni|MinClu|noRSL,MinClu,963097.6963060434,180.21886130364146,0.018708916551079927,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_comp_norsl,Uni|Compact|noRSL,Compact,963709.5044652233,-431.58929787622765,-0.04480423469495292,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_expn_norsl,Uni|Expand|noRSL,Expand,966367.2603516136,-3089.3451842665672,-0.3207117214692777,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_fifo_norsl,Opt|FIFO|noRSL,FIFO,963277.9151673471,0.0,0.0,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_random_norsl,Opt|Rank_random|noRSL,Rank_random,963211.5453612516,66.3698060954921,0.006889995612944358,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_popularity_norsl,Opt|Rank_popularity|noRSL,Rank_popularity,963176.8243274197,101.09083992731757,0.010494462536261448,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_labor_norsl,Opt|Rank_labor|noRSL,Rank_labor,963059.2452369003,218.66993044677656,0.02270060664774898,False,False
mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_cartlabor_norsl,Opt|Rank_cartlabor|noRSL,Rank_cartlabor,963076.8227194127,201.092447934323,0.02087584951009573,False,False
