strategy,label,color,total_production_time,production_time_per_item,mean_completion_rate,mean_queue_depth,max_queue_depth,mean_in_transit,mean_reorder_placements,mean_batch_prod_hours
uni_fifo_norsl,Uni|FIFO|noRSL,#d95b5b,72930521.18124089,12.295965842857042,1.51243984905531,0.0,0.0,0.0,38516.21333333333,0.27011304141200326
uni_rank_random_norsl,Uni|Rank_random|noRSL,#d9715b,72922615.38679138,12.29472414521541,1.5110983348004317,0.0,0.0,0.0,38515.92,0.27008376069181994
uni_rank_popularity_norsl,Uni|Rank_popularity|noRSL,#d9875b,72921589.94492438,12.296763391944781,1.5138100490136865,0.0,0.0,0.0,38511.96,0.2700799627589792
uni_rank_labor_norsl,Uni|Rank_labor|noRSL,#d99e5b,72917862.88278815,12.296321515194741,1.51546891518578,0.0,0.0,0.0,38511.56,0.2700661588251413
uni_rank_cartlabor_norsl,Uni|Rank_cartlabor|noRSL,#d9b45b,72913215.7334994,12.295266241817608,1.515426671018272,0.0,0.0,0.0,38512.346666666665,0.27004894716110883
uni_rank_minlabor_norsl,Uni|Rank_minlabor|noRSL,#d9ca5b,73075925.39320818,12.170833770785201,1.4045639561954024,0.0,0.0,0.0,38787.45333333333,0.27065157553040065
uni_rank_maxlabor_norsl,Uni|Rank_maxlabor|noRSL,#d1d95b,72924863.72026475,12.297176512452632,1.5140419181300253,0.0,0.0,0.0,38512.253333333334,0.2700920878528324
uni_map_norsl,Uni|Map|noRSL,#bbd95b,72897700.7852661,12.292670704084685,1.5112305433443247,0.0,0.0,0.0,38511.89333333333,0.26999148438987447
uni_map_rank_norsl,Uni|Map_rank|noRSL,#a5d95b,72896088.76811327,12.292388506879178,1.5069840754368167,0.0,0.0,0.0,38511.86666666667,0.2699855139559751
uni_cluster_map_norsl,Uni|CluMap|noRSL,#8fd95b,73077666.34662743,12.138362877652495,1.3413338932705132,0.0,0.0,0.0,38845.573333333334,0.2706580235060275
uni_cluster_map_rank_norsl,Uni|CluMapRk|noRSL,#79d95b,73065143.68815862,12.14267649027875,1.3449723311671817,0.0,0.0,0.0,38832.13333333333,0.27061164328947634
uni_tmin_norsl,Uni|TripMin|noRSL,#62d95b,72910789.62721047,12.295089340741864,1.5178889082333729,0.0,0.0,0.0,38511.54666666667,0.270039961582261
uni_tmax_norsl,Uni|TripMax|noRSL,#5bd96a,72925182.36751395,12.297582777240693,1.5142013129178744,0.0,0.0,0.0,38511.426666666666,0.27009326802782946
uni_cmax_norsl,Uni|MaxClu|noRSL,#5bd980,72907771.99615765,12.2946053508644,1.3640790271963037,0.0,0.0,0.0,38511.54666666667,0.27002878517095424
uni_cmin_norsl,Uni|MinClu|noRSL,#5bd996,72918422.4958441,12.296135957843525,1.5185413191149568,0.0,0.0,0.0,38511.92,0.2700682314660892
uni_comp_norsl,Uni|Compact|noRSL,#5bd9ac,72964396.56915717,12.11530843177931,1.3500048722849132,0.0,0.0,0.0,38852.8,0.27023850581169323
uni_expn_norsl,Uni|Expand|noRSL,#5bd9c3,73143954.81051342,12.137909802070737,1.4483779311843437,0.0,0.0,0.0,38863.44,0.2709035363352349
opt_fifo_norsl,Opt|FIFO|noRSL,#5bd9d9,72930521.18124089,12.295965842857042,1.51243984905531,0.0,0.0,0.0,38516.21333333333,0.27011304141200326
opt_rank_random_norsl,Opt|Rank_random|noRSL,#5bc3d9,72922902.4367639,12.294660606481635,1.5137175461509778,0.0,0.0,0.0,38516.08,0.27008482383986626
opt_rank_popularity_norsl,Opt|Rank_popularity|noRSL,#5bacd9,72919688.10352685,12.29665833735835,1.5156469241494293,0.0,0.0,0.0,38511.54666666667,0.2700729189019513
opt_rank_labor_norsl,Opt|Rank_labor|noRSL,#5b96d9,72916238.47404014,12.296360695559343,1.512622211171813,0.0,0.0,0.0,38511.066666666666,0.27006014249644494
opt_rank_cartlabor_norsl,Opt|Rank_cartlabor|noRSL,#5b80d9,72915478.73461685,12.296149632208474,1.5147730831584825,0.0,0.0,0.0,38511.253333333334,0.27005732864672904
opt_rank_minlabor_norsl,Opt|Rank_minlabor|noRSL,#5b6ad9,73105372.07945672,12.147397769871203,1.3728178749109043,0.0,0.0,0.0,38833.46666666667,0.27076063733132116
opt_rank_maxlabor_norsl,Opt|Rank_maxlabor|noRSL,#625bd9,72921909.98451445,12.29715951563318,1.5162764534267046,0.0,0.0,0.0,38511.333333333336,0.27008114809079425
opt_map_norsl,Opt|Map|noRSL,#795bd9,72893474.6611184,12.29232702289586,1.5068119373893403,0.0,0.0,0.0,38511.28,0.2699758320782163
opt_map_rank_norsl,Opt|Map_rank|noRSL,#8f5bd9,72887986.20775658,12.291420137163252,1.5061470878360985,0.0,0.0,0.0,38511.22666666667,0.2699555044731725
opt_cluster_map_norsl,Opt|CluMap|noRSL,#a55bd9,73093417.88903812,12.121636214856215,1.3433067620412684,0.0,0.0,0.0,38878.666666666664,0.27071636255199305
opt_cluster_map_rank_norsl,Opt|CluMapRk|noRSL,#bb5bd9,73094954.0248589,12.128480172441877,1.3367696249139205,0.0,0.0,0.0,38865.68,0.27072205194392185
opt_tmin_norsl,Opt|TripMin|noRSL,#d15bd9,72914014.15284784,12.295981446054599,1.5114428037075534,0.0,0.0,0.0,38510.973333333335,0.2700519042698068
opt_tmax_norsl,Opt|TripMax|noRSL,#d95bca,72917195.00176689,12.29664849503889,1.5147440055216794,0.0,0.0,0.0,38510.73333333333,0.27006368519172924
opt_cmax_norsl,Opt|MaxClu|noRSL,#d95bb4,72904862.97098625,12.294436147309941,1.360816526038078,0.0,0.0,0.0,38511.12,0.2700180110036528
opt_cmin_norsl,Opt|MinClu|noRSL,#d95b9e,72897343.40302984,12.293107953109416,1.5169533179055665,0.0,0.0,0.0,38511.12,0.2699901607519624
opt_comp_norsl,Opt|Compact|noRSL,#d95b87,72988606.79997717,12.096128319845233,1.3471487710060424,0.0,0.0,0.0,38890.973333333335,0.27032817333324877
opt_expn_norsl,Opt|Expand|noRSL,#d95b71,73159964.16784063,12.114229518702656,1.4529842395409254,0.0,0.0,0.0,38907.77333333333,0.2709628302512616
