strategy,initial,assignment,reslot,metric,n_batches,baseline_median,arm_median,pct_median,ci_lo,ci_hi,hedges_g,rank_biserial,p_wilcoxon,p_holm,better
uni_rank_random_norsl,Uni,Rank_random,noRSL,production_time,75,6205886.302227211,6162282.141856602,0.560193585852663,0.5022218070628853,0.6260156043359844,2.0278916053790152,0.9963963963963964,9.487096441797489e-14,1.7425230627156523e-12,arm
uni_rank_popularity_norsl,Uni,Rank_popularity,noRSL,production_time,75,6205886.302227211,6162507.173109074,0.7558875785808931,0.6634568481674998,0.809434085657262,2.3118488709856564,1.0,7.732733053009578e-14,1.7425230627156523e-12,arm
uni_rank_labor_norsl,Uni,Rank_labor,noRSL,production_time,75,6205886.302227211,6057951.919641366,2.48072263361493,2.397845822960488,2.5374713154912043,3.0254438298917576,1.0,7.732733053009578e-14,1.7425230627156523e-12,arm
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,production_time,75,6205886.302227211,6060076.627630736,2.4651810874129607,2.4013056562888617,2.5854923407727566,3.034854195130377,1.0,7.732733053009578e-14,1.7425230627156523e-12,arm
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,production_time,75,6205886.302227211,6057428.5472738845,2.244790073074962,2.1756225014389283,2.3282791018141356,2.9633510946339454,1.0,7.732733053009578e-14,1.7425230627156523e-12,arm
uni_rank_maxlabor_norsl,Uni,Rank_maxlabor,noRSL,production_time,75,6205886.302227211,6395763.059286051,-2.939470642596175,-3.079707583628942,-2.8584566730853167,-2.9985011031305318,-1.0,7.732733053009578e-14,1.7425230627156523e-12,baseline
uni_map_norsl,Uni,Map,noRSL,production_time,75,6205886.302227211,6081075.789293832,2.1239257611627607,1.985553202104256,2.170174942028554,2.8356267914768685,1.0,7.732733053009578e-14,1.7425230627156523e-12,arm
uni_map_rank_norsl,Uni,Map_rank,noRSL,production_time,75,6205886.302227211,6086746.074030521,2.0652195896400176,1.9809657387131636,2.139048027464413,2.8524005858862083,1.0,7.732733053009578e-14,1.7425230627156523e-12,arm
uni_cluster_map_norsl,Uni,CluMap,noRSL,production_time,75,6205886.302227211,6085490.160148243,1.9781531413492106,1.8402866836206067,2.150510204343028,2.645257362313544,0.9992792792792793,8.055970661358803e-14,1.7425230627156523e-12,arm
uni_cluster_map_rank_norsl,Uni,CluMapRk,noRSL,production_time,75,6205886.302227211,6109231.811500325,1.6527310809345326,1.5223598104116922,1.7971767494207584,2.6422013582713006,1.0,7.732733053009578e-14,1.7425230627156523e-12,arm
uni_tmin_norsl,Uni,TripMin,noRSL,production_time,75,6205886.302227211,6174591.392384939,0.6309639660005986,0.5564526515922275,0.7303609165338152,2.155764566582659,0.9992792792792793,8.055970661358803e-14,1.7425230627156523e-12,arm
uni_tmax_norsl,Uni,TripMax,noRSL,production_time,75,6205886.302227211,6257063.849195597,-0.6760956695600615,-0.7447729451267989,-0.6157035068657809,-2.3630104095420315,-0.9992792792792793,8.055970661358803e-14,1.7425230627156523e-12,baseline
uni_cmax_norsl,Uni,MaxClu,noRSL,production_time,75,6205886.302227211,6181195.632199215,0.4363458158713706,0.3627654160276903,0.4843115443280215,1.7298487247996879,0.9877477477477478,1.54521690860444e-13,1.7425230627156523e-12,arm
uni_cmin_norsl,Uni,MinClu,noRSL,production_time,75,6205886.302227211,6197675.6631274605,0.32069894356254963,0.2387452652921189,0.4070550523581838,1.202957544261167,0.9192792792792793,6.35661946078365e-12,4.449633622548555e-11,arm
uni_comp_norsl,Uni,Compact,noRSL,production_time,75,6205886.302227211,6206646.3689474575,0.08104562408858165,0.0,0.13935383946732824,0.5118164718666912,0.5055855855855856,0.00015736713947440495,0.0007868356973720248,arm
uni_expn_norsl,Uni,Expand,noRSL,production_time,75,6205886.302227211,6207014.670622425,-0.047227689648544284,-0.1370712199208302,-0.012786647869869905,-0.3440227016245486,-0.3563963963963964,0.007722027953670484,0.019614993877806092,baseline
opt_fifo_norsl,Opt,FIFO,noRSL,production_time,75,6205886.302227211,6205886.302227211,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
opt_rank_random_norsl,Opt,Rank_random,noRSL,production_time,75,6205886.302227211,6187313.586426365,0.6061424215473189,0.504586639730954,0.6853802692124238,2.0850876050053477,1.0,5.2803729173201584e-14,1.7425230627156523e-12,arm
opt_rank_popularity_norsl,Opt,Rank_popularity,noRSL,production_time,75,6205886.302227211,6159845.404681467,0.7611994142047198,0.6794444247007251,0.8423339688507956,2.6359404059374802,0.9992982456140351,5.4980694109671574e-14,1.7425230627156523e-12,arm
opt_rank_labor_norsl,Opt,Rank_labor,noRSL,production_time,75,6205886.302227211,6049613.480002313,2.697943169764446,2.580677320783067,2.758097362618529,3.429591038636775,1.0,5.2803729173201584e-14,1.7425230627156523e-12,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,production_time,75,6205886.302227211,6052420.481808558,2.6467637837143503,2.5591368598086217,2.760415112358484,3.4600212052641646,1.0,5.2803729173201584e-14,1.7425230627156523e-12,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,production_time,75,6205886.302227211,6069232.8349092,2.472176423185055,2.3689955825386715,2.516984783410433,3.3968834249543343,1.0,5.2803729173201584e-14,1.7425230627156523e-12,arm
opt_rank_maxlabor_norsl,Opt,Rank_maxlabor,noRSL,production_time,75,6205886.302227211,6404314.235101582,-3.1740367385958907,-3.2454007508097487,-3.1405502443564366,-3.4853617596351913,-1.0,5.2803729173201584e-14,1.7425230627156523e-12,baseline
opt_map_norsl,Opt,Map,noRSL,production_time,75,6205886.302227211,6074208.461805971,2.3728804339022522,2.3241627176794326,2.483930179249275,3.4713491539964867,1.0,5.2803729173201584e-14,1.7425230627156523e-12,arm
