strategy,label,color,total_production_time,production_time_per_item,mean_completion_rate,mean_queue_depth,max_queue_depth,mean_in_transit,mean_reorder_placements,mean_batch_prod_hours
uni_fifo_norsl,Uni|FIFO|noRSL,#d95b5b,63613518.70239272,12.825427721269278,1.452271914780161,370.85333333333335,7742.0,157154.34666666668,34561.573333333334,0.23560562482367675
uni_rank_random_norsl,Uni|Rank_random|noRSL,#d9715b,63598060.171788424,12.817517358952307,1.4512045894994032,378.9066666666667,8033.0,157017.45333333334,34546.76,0.2355483710066238
uni_rank_popularity_norsl,Uni|Rank_popularity|noRSL,#d9875b,63681915.07302753,12.819995022139903,1.4531494300185264,365.37333333333333,7748.0,157002.64,34584.09333333333,0.23585894471491678
uni_rank_labor_norsl,Uni|Rank_labor|noRSL,#d99e5b,63683623.79385665,12.820806169794073,1.4495820479406654,365.17333333333335,7707.0,156996.36,34583.16,0.2358652733105802
uni_rank_cartlabor_norsl,Uni|Rank_cartlabor|noRSL,#d9b45b,63684912.035819255,12.820768694737701,1.452436049100118,364.46666666666664,7744.0,156999.94666666666,34584.36,0.23587004457710833
uni_rank_minlabor_norsl,Uni|Rank_minlabor|noRSL,#d9ca5b,63672796.71542587,12.706549026411354,1.3627463766549308,330.5733333333333,7118.0,158458.33333333334,34762.50666666667,0.2358251730200958
uni_rank_maxlabor_norsl,Uni|Rank_maxlabor|noRSL,#d1d95b,63686758.08769138,12.821266808801886,1.4571970926950613,368.16,7777.0,157001.0,34583.44,0.23587688180626437
uni_map_norsl,Uni|Map|noRSL,#bbd95b,63514280.91297786,12.815439821426807,1.450332104141217,493.02666666666664,8448.0,157074.46666666667,34517.013333333336,0.23523807745547354
uni_map_rank_norsl,Uni|Map_rank|noRSL,#a5d95b,63494111.68634716,12.814656581036738,1.4471717066129892,534.6,8799.0,157065.90666666668,34506.56,0.2351633766161006
uni_cluster_map_norsl,Uni|CluMap|noRSL,#8fd95b,63580836.027639575,12.649197295367323,1.268159439663891,303.26666666666665,6754.0,159048.85333333333,34830.36,0.2354845778801466
uni_cluster_map_rank_norsl,Uni|CluMapRk|noRSL,#79d95b,63548355.78157981,12.654197684506622,1.274748638794866,345.32,7466.0,158901.14666666667,34792.89333333333,0.2353642806725178
uni_tmin_norsl,Uni|TripMin|noRSL,#62d95b,63598100.01633989,12.820486462560822,1.445546240547838,386.74666666666667,8102.0,156988.94666666666,34541.85333333333,0.23554851857903664
uni_tmax_norsl,Uni|TripMax|noRSL,#5bd96a,63603948.54605425,12.821285509289766,1.4533033221927691,384.84,8094.0,156993.66666666666,34542.706666666665,0.23557017980020092
uni_cmax_norsl,Uni|MaxClu|noRSL,#5bd980,63584715.63579853,12.822327270530744,1.324096978176935,371.3466666666667,7677.0,157123.36,34556.973333333335,0.23549894679925382
uni_cmin_norsl,Uni|MinClu|noRSL,#5bd996,63597001.31158941,12.824716836983189,1.45918121690254,373.2266666666667,7708.0,157130.73333333334,34556.49333333333,0.23554444930218302
uni_comp_norsl,Uni|Compact|noRSL,#5bd9ac,63525934.987658165,12.629639022824898,1.2840793737058926,274.61333333333334,6254.0,159148.01333333334,34855.14666666667,0.23528124069503023
uni_expn_norsl,Uni|Expand|noRSL,#5bd9c3,63703761.90908273,12.653209883913702,1.3979012470474663,227.66666666666666,5590.0,159260.86666666667,34908.90666666667,0.23593985892252864
opt_fifo_norsl,Opt|FIFO|noRSL,#5bd9d9,63613518.70239272,12.825427721269278,1.452271914780161,370.85333333333335,7742.0,157154.34666666668,34561.573333333334,0.23560562482367675
opt_rank_random_norsl,Opt|Rank_random|noRSL,#5bc3d9,63598770.902727254,12.817337699385956,1.4495139502806247,373.0133333333333,8000.0,157016.86666666667,34548.333333333336,0.23555100334343426
opt_rank_popularity_norsl,Opt|Rank_popularity|noRSL,#5bacd9,63678987.66772414,12.819400536080934,1.451452032659781,365.12,7764.0,157005.09333333332,34584.49333333333,0.23584810247305238
opt_rank_labor_norsl,Opt|Rank_labor|noRSL,#5b96d9,63680559.6799077,12.82058678229005,1.450281011196334,370.3333333333333,7792.0,156991.90666666668,34582.293333333335,0.2358539247403989
opt_rank_cartlabor_norsl,Opt|Rank_cartlabor|noRSL,#5b80d9,63679120.72237138,12.82000284716936,1.4528174738403843,366.6533333333333,7757.0,156998.4,34583.17333333333,0.23584859526804214
