strategy,initial,assignment,reslot,metric,n_batches,baseline_median,arm_median,pct_median,ci_lo,ci_hi,hedges_g,rank_biserial,p_wilcoxon,p_holm,better
uni_rank_random_norsl,Uni,Rank_random,noRSL,production_time,75,870943.1285206367,868716.3763340448,0.07094928554835993,0.020963318179495566,0.0987252009827614,0.0733888923322359,0.2951351351351351,0.027378881074545756,0.4928198593418236,arm
uni_rank_popularity_norsl,Uni,Rank_popularity,noRSL,production_time,75,870943.1285206367,870944.4693732859,0.0003611654897889003,-0.01915486858555802,0.03615932012538912,-0.2786746687761729,-0.05945945945945946,0.6567194655014168,1.0,arm
uni_rank_labor_norsl,Uni,Rank_labor,noRSL,production_time,75,870943.1285206367,870380.8607408302,0.0,-0.01953526348179944,0.03549543870050722,-0.28877003950659685,-0.08612612612612612,0.5197215465756712,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,production_time,75,870943.1285206367,871309.3190117171,0.0,-0.028633199939238185,0.015922383984217595,-0.29922567860859856,-0.13225225225225226,0.32287954566289234,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,production_time,75,870943.1285206367,870520.0414779297,0.040711520258642275,-0.005886495992952727,0.06768895245903499,-0.2106310601599159,0.08828828828828829,0.5092946436274033,1.0,arm
uni_rank_maxlabor_norsl,Uni,Rank_maxlabor,noRSL,production_time,75,870943.1285206367,870290.696176624,-0.011008948753895974,-0.030868576996040176,0.005998914565987853,-0.3074829378509229,-0.2381981981981982,0.07499719874162358,0.899966384899483,baseline
uni_map_norsl,Uni,Map,noRSL,production_time,75,870943.1285206367,864246.1460588021,0.09839965894142932,0.07077853156500098,0.1313353299784365,0.6506507676851009,0.8068468468468468,1.6293748156772847e-09,4.888124447031854e-08,arm
uni_map_rank_norsl,Uni,Map_rank,noRSL,production_time,75,870943.1285206367,862790.4581546086,0.11234533380390296,0.07358348609552114,0.1528098766087655,0.6213636144885394,0.8363963963963964,4.055220204756379e-10,1.2571182634744775e-08,arm
uni_cluster_map_norsl,Uni,CluMap,noRSL,production_time,75,870943.1285206367,869686.686606064,0.11035501227973392,0.043096246002533554,0.14386105686551645,0.20347147481845693,0.3326126126126126,0.012911197715743322,0.25822395431486644,arm
uni_cluster_map_rank_norsl,Uni,CluMapRk,noRSL,production_time,75,870943.1285206367,868729.646386096,0.12663336707217168,0.0786880335614692,0.1685367549510431,0.3755258273787598,0.5243243243243243,8.883816034093571e-05,0.002132115848182457,arm
