strategy,label,color,total_production_time,production_time_per_item,mean_completion_rate,mean_queue_depth,max_queue_depth,mean_in_transit,mean_reorder_placements,mean_batch_prod_hours
uni_fifo_norsl,Uni|FIFO|noRSL,#d95b5b,370573718.0973323,189.07642326189264,0.08273549865726851,10231.453333333333,20358.0,64099.37333333334,9708.906666666666,1.372495252212342
uni_rank_random_norsl,Uni|Rank_random|noRSL,#d9715b,372157543.82410425,190.88408794190156,0.08110128502472443,10845.866666666667,21653.0,63241.08,9642.68,1.3783612734226083
uni_rank_popularity_norsl,Uni|Rank_popularity|noRSL,#d9875b,375566745.52375835,185.28818935986456,0.08431729095840305,10124.053333333333,20240.0,65156.2,9935.466666666667,1.3909879463842902
uni_rank_labor_norsl,Uni|Rank_labor|noRSL,#d99e5b,368797311.47613806,182.7127650549074,0.08512120504112004,10101.173333333334,20218.0,64922.50666666667,9933.68,1.3659159684301407
uni_rank_cartlabor_norsl,Uni|Rank_cartlabor|noRSL,#d9b45b,368774041.88644415,182.6930000997967,0.08527367757754016,10078.92,20198.0,64926.90666666667,9934.773333333333,1.365829784764608
uni_rank_minlabor_norsl,Uni|Rank_minlabor|noRSL,#d9ca5b,370016582.00275725,182.9192615745663,0.07566831929526296,10072.4,20181.0,65109.693333333336,9956.12,1.370431785195397
uni_rank_maxlabor_norsl,Uni|Rank_maxlabor|noRSL,#d1d95b,387041570.2706421,191.39988303144955,0.08155964483168765,10087.173333333334,20209.0,65075.78666666667,9953.466666666667,1.4334872972986743
uni_map_norsl,Uni|Map|noRSL,#bbd95b,367505353.7563296,185.06870040675724,0.08432355917934109,10668.893333333333,21674.0,64526.49333333333,9764.733333333334,1.3611309398382578
uni_map_rank_norsl,Uni|Map_rank|noRSL,#a5d95b,367417283.6242727,185.06955075360298,0.08420509071796649,10663.88,21658.0,64515.62666666666,9761.4,1.360804754163973
uni_cluster_map_norsl,Uni|CluMap|noRSL,#8fd95b,368610279.31639045,188.2342472174895,0.06782839371742788,10797.666666666666,21589.0,63623.44,9687.133333333333,1.3652232567273719
uni_cluster_map_rank_norsl,Uni|CluMapRk|noRSL,#79d95b,368847856.3241974,188.5624978652451,0.06685680279690775,10855.346666666666,21664.0,63545.693333333336,9674.133333333333,1.3661031715711014
uni_tmin_norsl,Uni|TripMin|noRSL,#62d95b,371998398.52943987,190.94956678358434,0.08122355934705602,10903.613333333333,21780.0,63235.53333333333,9635.026666666667,1.377771846405333
uni_tmax_norsl,Uni|TripMax|noRSL,#5bd96a,375021113.1758414,192.29189454580205,0.08077142910989339,10930.186666666666,21891.0,63290.24,9641.693333333333,1.3889670858364496
uni_cmax_norsl,Uni|MaxClu|noRSL,#5bd980,369554589.834599,188.78780873209988,0.0720864516318833,10260.506666666666,20397.0,63992.82666666667,9697.72,1.3687207030911073
uni_cmin_norsl,Uni|MinClu|noRSL,#5bd996,371292955.55286676,189.0362762827354,0.08241923739469746,10244.186666666666,20327.0,64241.96,9728.92,1.3751590946402472
uni_comp_norsl,Uni|Compact|noRSL,#5bd9ac,374082008.51662517,191.09381748647448,0.06513885880745014,10815.72,21622.0,63601.18666666667,9685.253333333334,1.385488920431945
uni_expn_norsl,Uni|Expand|noRSL,#5bd9c3,374741461.7021828,191.26917926282633,0.07994934011099356,10786.906666666666,21581.0,63672.94666666666,9696.986666666666,1.3879313396377142
