metric,grouping,better,group_channel,n,n_pos,n_neg,n_zero,n_nan,win_rate,p_sign,p_floor,ci_lo,ci_hi,median,q1,q3,iqr,min,max,group_assignment,group_scheduler
thr_gain_vs_ref_pct,channel,higher,fulfillment,40,27,5,8,0,0.84375,5.653710104525089e-05,2.3283064365386963e-10,0.6991583057346689,1.0,0.03680003802454257,0.0,0.07722731123571691,0.07722731123571691,-0.03183178179971824,0.11262612242495251,,
thr_gain_vs_ref_pct,channel,higher,store,40,16,16,8,0,0.5,0.5699749670457095,2.3283064365386963e-10,0.3441485779422835,1.0,0.0,-0.043560650542631696,0.01984118932173984,0.06340183986437153,-0.19619197703694136,0.17294053402427956,,
thr_gain_vs_ref_pct,channel,higher,,80,43,21,16,0,0.671875,0.004073451114349284,5.421010862427522e-20,0.5628699511408147,1.0,0.004080139633433344,-0.004531807776853025,0.06003752217340619,0.06456932995025921,-0.19619197703694136,0.17294053402427956,,
thr_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,20,14,0,6,0,1.0,6.103515625e-05,6.103515625e-05,0.8073638243498648,1.0,0.055085123370457456,0.0,0.08001374431658714,0.08001374431658714,0.0,0.11262612242495251,fifo,
thr_gain_vs_ref_pct,channel_x_rule,higher,fulfillment,20,13,5,2,0,0.7222222222222222,0.048126220703125,3.814697265625e-06,0.5021717505455604,1.0,0.015311590479905046,-0.0006832559253239223,0.053434253732587145,0.05411750965791107,-0.03183178179971824,0.09418257784623574,rank_minlabor,
thr_gain_vs_ref_pct,channel_x_rule,higher,store,20,8,6,6,0,0.5714285714285714,0.395263671875,6.103515625e-05,0.32502848160377507,1.0,0.0,-0.02515931675464156,0.020878814235847365,0.046038130990488924,-0.15062764057055533,0.07305096254095478,fifo,
thr_gain_vs_ref_pct,channel_x_rule,higher,store,20,8,10,2,0,0.4444444444444444,0.7596588134765625,3.814697265625e-06,0.2439612491136728,1.0,-0.005728399688309516,-0.07838076414830308,0.00998290904566379,0.08836367319396687,-0.19619197703694136,0.17294053402427956,rank_cartlabor,
thr_gain_vs_ref_pct,channel_x_rule,higher,,80,43,21,16,0,0.671875,0.004073451114349284,5.421010862427522e-20,0.5628699511408147,1.0,0.004080139633433344,-0.004531807776853025,0.06003752217340619,0.06456932995025921,-0.19619197703694136,0.17294053402427956,,
thr_gain_vs_ref_pct,scheduler,higher,,80,43,21,16,0,0.671875,0.004073451114349284,5.421010862427522e-20,0.5628699511408147,1.0,0.004080139633433344,-0.004531807776853025,0.06003752217340619,0.06456932995025921,-0.19619197703694136,0.17294053402427956,,round_robin
thr_gain_vs_ref_pct,scheduler,higher,,80,43,21,16,0,0.671875,0.004073451114349284,5.421010862427522e-20,0.5628699511408147,1.0,0.004080139633433344,-0.004531807776853025,0.06003752217340619,0.06456932995025921,-0.19619197703694136,0.17294053402427956,,
