strategy,initial,assignment,reslot,metric,n_batches,baseline_median,arm_median,pct_median,ci_lo,ci_hi,hedges_g,rank_biserial,p_wilcoxon,p_holm,better
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,production_time,40,643315.2747661964,625465.2089962137,0.8084929528751146,0.630153159711427,0.9696000963968495,0.2811750319580326,0.4709851551956815,0.011385233189649228,0.022770466379298457,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,production_time,40,643315.2747661964,593302.0463444631,3.472166070244997,2.141558169998088,3.8046865775929595,0.602782872602225,0.6292682926829268,0.0003167852501064772,0.0009503557503194315,arm
opt_fifo_norsl,Opt,FIFO,noRSL,production_time,40,643315.2747661964,643315.2747661964,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,objective_task_labor,40,897.1541307451256,874.6606651400825,0.6485818047442393,0.012446431192260401,1.1115504889156682,0.36840732415018596,0.46288798920377866,0.012877461081117762,0.025754922162235523,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,objective_task_labor,40,897.1541307451256,811.3145079514338,6.283416901068083,4.994498531285044,6.835538349169553,1.5968180359920063,0.9902439024390244,1.2732925824820995e-11,3.8198777474462986e-11,arm
opt_fifo_norsl,Opt,FIFO,noRSL,objective_task_labor,40,897.1541307451256,897.1541307451256,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,objective_total_labor,40,572374.375612101,555884.9728850994,0.526173944582631,0.3772827698212945,0.8375182522035574,0.23390216927068255,0.44399460188933876,0.017050157149096808,0.034100314298193615,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,objective_total_labor,40,572374.375612101,526248.7963444624,3.7436065485737284,2.690469873498312,4.1881286607227555,0.6385175131659215,0.6487804878048781,0.00019334589705977123,0.0005800376911793137,arm
opt_fifo_norsl,Opt,FIFO,noRSL,objective_total_labor,40,572374.375612101,572374.375612101,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,task_mean_duration,40,1010.1335952920743,982.9401832812756,0.7807694913679936,0.18147306082305517,1.1059355291735047,0.4491823576722352,0.5573549257759784,0.0027469694418958573,0.005493938883791715,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,task_mean_duration,40,1010.1335952920743,918.321820733896,5.7874860196344216,4.803761318693601,6.518084434961649,1.6572389165638612,0.9926829268292683,9.094947017729282e-12,2.7284841053187847e-11,arm
opt_fifo_norsl,Opt,FIFO,noRSL,task_mean_duration,40,1010.1335952920743,1010.1335952920743,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,makespan,40,21005.744102824945,20451.042547152407,0.9307757483716366,0.5436540410884846,1.3006588848154816,0.40624470347718955,0.6194331983805668,0.0008738641747543239,0.0017477283495086478,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,makespan,40,21005.744102824945,19342.510331128055,3.970595769198623,3.2969841495331873,4.386981454241278,1.1238066298190685,0.9219512195121952,5.029505700804293e-09,1.508851710241288e-08,arm
opt_fifo_norsl,Opt,FIFO,noRSL,makespan,40,21005.744102824945,21005.744102824945,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,throughput,40,0.29460041918738955,0.29701937901360964,0.9920026686802346,0.650096821932965,1.3080205733378734,0.570109127913314,0.6680161943319838,0.0003315502728578562,0.0006631005457157124,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,throughput,40,0.29460041918738955,0.30617224256487485,3.9570005659551613,3.8521702568471574,4.50588921535385,1.7399952688673574,0.9926829268292683,9.094947017729282e-12,2.7284841053187847e-11,arm
opt_fifo_norsl,Opt,FIFO,noRSL,throughput,40,0.29460041918738955,0.29460041918738955,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,throughput_task,40,0.009651216405520968,0.009840894774515337,0.7934337982421735,0.5392030838319254,0.9986759526019269,0.7145296046224344,0.7651821862348178,3.932754553171627e-05,7.865509106343254e-05,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,throughput_task,40,0.009651216405520968,0.010004070618186126,3.579283885378331,3.1806203071652317,3.97440518336164,1.6165812199917615,1.0,1.8189894035458565e-12,5.4569682106375694e-12,arm
opt_fifo_norsl,Opt,FIFO,noRSL,throughput_task,40,0.009651216405520968,0.009651216405520968,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,queue_depth,40,0.0,0.0,100.0,nan,nan,0.15513060219693936,1.0,0.31731050786291415,0.9519315235887424,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,queue_depth,40,0.0,0.0,100.0,nan,nan,0.09216983274988934,0.3333333333333333,0.6547208460185769,1.0,arm
opt_fifo_norsl,Opt,FIFO,noRSL,queue_depth,40,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,sigma_fd,40,17743135.819062613,17318584.22885493,2.4122809013236353,1.2638902409832455,3.354768903485083,1.715521555048097,1.0,7.739732463297963e-08,1.5479464926595927e-07,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,sigma_fd,40,17743135.819062613,15393903.977998381,13.238886161100648,13.104300486700158,13.47606982343473,56.17501121355397,1.0,1.8189894035458565e-12,5.4569682106375694e-12,arm
opt_fifo_norsl,Opt,FIFO,noRSL,sigma_fd,40,17743135.819062613,17743135.819062613,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,picking_pct,40,92.96195099988364,93.07501947347717,0.08486706418714036,0.07803926360938973,0.09887965470203569,0.9542552143306435,0.8920377867746289,1.6430389519899428e-06,3.2860779039798856e-06,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,picking_pct,40,92.96195099988364,93.22994036817543,0.28692203135752026,0.21541594444402223,0.35419833201231815,1.4442609243450377,0.9243902439024391,4.320099833421409e-09,1.2960299500264227e-08,arm
