strategy,initial,assignment,reslot,metric,n_batches,baseline_median,arm_median,pct_median,ci_lo,ci_hi,hedges_g,rank_biserial,p_wilcoxon,p_holm,better
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,production_time,40,622933.0123671484,621631.0682962616,0.03180968043579322,-0.1107727797929897,0.17750002475509843,0.042350895850011554,0.10661268556005399,0.5667531078466261,1.0,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,production_time,40,622933.0123671484,617422.7946481069,0.9279877762248538,0.700224295871483,1.6989848838830164,0.5328931244033445,0.6682926829268293,0.00011535796875250526,0.0003460739062575158,arm
opt_fifo_norsl,Opt,FIFO,noRSL,production_time,40,622933.0123671484,622933.0123671484,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,objective_task_labor,40,263.77235274977613,264.1986029746761,0.22359022080927493,-0.4726142350509356,0.5568762288806157,-0.0056082403823662546,0.033738191632928474,0.8561490233719683,1.0,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,objective_task_labor,40,263.77235274977613,275.578041902134,-4.780535922432769,-6.478161104306588,-3.710204196869061,-0.5825885652763888,-0.6902439024390243,6.268265497055836e-05,0.00018804796491167508,baseline
opt_fifo_norsl,Opt,FIFO,noRSL,objective_task_labor,40,263.77235274977613,263.77235274977613,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,objective_total_labor,40,406332.86653382133,406432.02519360674,0.08908094209094503,-0.4176530809825186,0.5992194478208359,-0.006758055801009795,0.06342780026990553,0.7332515316876671,1.0,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,objective_total_labor,40,406332.86653382133,413233.9786241752,-0.6067965157417022,-2.066364899656747,0.46163149709208884,-0.05166201909574968,-0.16829268292682928,0.3611039877814619,1.0,baseline
opt_fifo_norsl,Opt,FIFO,noRSL,objective_total_labor,40,406332.86653382133,406332.86653382133,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,task_mean_duration,40,404.37007386230096,404.05108001468875,-0.010312371008289533,-0.25154857469301206,0.23418134311209057,0.01584361987475172,0.009446693657219974,0.9595183868498773,1.0,baseline
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,task_mean_duration,40,404.37007386230096,412.68206351645233,-2.654388619077197,-3.255593432194283,-1.8557788620288072,-0.6939048357967074,-0.6951219512195121,5.449729542306159e-05,0.00016349188626918476,baseline
opt_fifo_norsl,Opt,FIFO,noRSL,task_mean_duration,40,404.37007386230096,404.37007386230096,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,makespan,40,27250.18133163138,27209.06620915851,0.05006321053014251,-0.025631603711419634,0.18296041572978794,-0.010976374425176547,0.06072874493927125,0.74419647834799,1.0,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,makespan,40,27250.18133163138,27026.62722442721,0.5711930811183246,0.25313798691984424,1.5614924792648255,0.4681115242677262,0.6634146341463415,0.0001315457593591418,0.00039463727807742544,arm
opt_fifo_norsl,Opt,FIFO,noRSL,makespan,40,27250.18133163138,27250.18133163138,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,throughput,40,1.1968115675904218,1.206947766601639,-0.06740960916330002,-0.2364969863941046,0.2212597795642029,-0.044781165238970765,-0.07422402159244265,0.690031306157942,1.0,baseline
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,throughput,40,1.1968115675904218,1.2165856048763466,0.9297590831390483,0.5249124667515279,1.7567584353379548,0.6606667755805914,0.7146341463414634,3.061662209802307e-05,9.184986629406922e-05,arm
opt_fifo_norsl,Opt,FIFO,noRSL,throughput,40,1.1968115675904218,1.1968115675904218,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,throughput_task,40,0.052350187460964745,0.05274383101166284,-0.02348494986113839,-0.2730975943478095,0.24400666609325955,-0.0020422314338656715,-0.02564102564102564,0.8904209152438732,1.0,baseline
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,throughput_task,40,0.052350187460964745,0.053187122370288664,0.9533778232025999,0.5966105409061171,1.7601619744328996,0.7088160940822,0.7317073170731707,1.805902866180986e-05,5.4177085985429585e-05,arm
opt_fifo_norsl,Opt,FIFO,noRSL,throughput_task,40,0.052350187460964745,0.052350187460964745,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,queue_depth,40,0.0,0.0,100.0,100.0,100.0,0.1916758789687279,0.3333333333333333,0.3078214719088427,0.923464415726528,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,queue_depth,40,0.0,0.0,100.0,100.0,100.0,-0.04301741461989743,-0.07692307692307693,0.8139453463016609,1.0,arm
opt_fifo_norsl,Opt,FIFO,noRSL,queue_depth,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,sigma_fd,40,19429849.032384835,17717427.241179727,8.98682946924017,6.027828269570086,10.456915090287485,2.2042537879472297,1.0,7.739732463297963e-08,1.5479464926595927e-07,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,sigma_fd,40,19429849.032384835,13719029.526704166,29.410828607782143,28.804151484902825,29.945813443249758,28.8059201739571,1.0,1.8189894035458565e-12,5.4569682106375694e-12,arm
opt_fifo_norsl,Opt,FIFO,noRSL,sigma_fd,40,19429849.032384835,19429849.032384835,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,picking_pct,40,73.66054925484576,73.65303503874583,0.01408361813867805,-0.04811060021821974,0.09979665378250269,0.004697589019345409,0.07152496626180836,0.7007484707769185,1.0,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,picking_pct,40,73.66054925484576,74.24139108346691,0.9381761542953941,0.8401939982549822,1.2131457635253082,1.0500123890718354,0.8609756097560975,1.3044336810708046e-07,3.913301043212414e-07,arm
opt_fifo_norsl,Opt,FIFO,noRSL,picking_pct,40,73.66054925484576,73.66054925484576,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,reorder_churn,40,16697.5,14366.5,0.0,-18.556099836715653,4.995411039727285,-0.019568875662021968,-0.07899159663865546,0.6878546970101984,1.0,tie
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,reorder_churn,40,16697.5,15239.0,0.17481753419868012,-0.034557661927330174,4.192995925116636,-0.0019290174150287066,0.05263157894736842,0.777331616236266,1.0,arm
opt_fifo_norsl,Opt,FIFO,noRSL,reorder_churn,40,16697.5,16697.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,throughput_elapsed,40,1.1847481022560342,1.18640690103812,-0.12237538284413907,-0.3693836975539374,0.15532782771644396,-0.004650595837623013,-0.10099573257467995,0.5922605069013525,1.0,baseline
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,throughput_elapsed,40,1.1847481022560342,1.1718409033423858,0.1653418936395123,-0.6487887107064302,0.6395185980878981,0.002862125226386502,0.04871794871794872,0.7908977929599215,1.0,arm
opt_fifo_norsl,Opt,FIFO,noRSL,throughput_elapsed,40,1.1847481022560342,1.1847481022560342,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,total_production_time,40,1719494.442949209,1385075.0736271886,3.355429176909022,-8.692587342311445,21.659765848104627,0.16853139811007575,0.2550607287449393,0.17054177772143564,0.5116253331643069,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,total_production_time,40,1719494.442949209,1508261.2419981654,5.420037190349044,-3.9025918296645155,15.60298414236727,0.13940245869266418,0.24146341463414633,0.18761708125202858,0.5116253331643069,arm
opt_fifo_norsl,Opt,FIFO,noRSL,total_production_time,40,1719494.442949209,1719494.442949209,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,putaway_time,40,987367.1670246352,626412.7528557164,14.810451460604208,-14.99787988230831,41.469561547727594,0.19451393062764663,0.2901484480431849,0.11899764992698451,0.35699294978095353,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,putaway_time,40,987367.1670246352,758364.1764240878,11.5243134889935,-5.079143122125805,34.46637467090009,0.1466052030451768,0.2496626180836707,0.1797709860924649,0.3595419721849298,arm
opt_fifo_norsl,Opt,FIFO,noRSL,putaway_time,40,987367.1670246352,987367.1670246352,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,unload_time,40,132590.55906214647,113753.53435883397,5.690204653459326e-13,-18.75366524141581,4.446853455975313,-0.014299685386705665,-0.04694167852062589,0.8034197910260048,1.0,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,unload_time,40,132590.55906214647,120429.53187890085,0.01523976712940362,-4.6621577394919855,3.8354386167389434,-0.0025810550099961992,-0.022941970310391364,0.9018938161978551,1.0,arm
opt_fifo_norsl,Opt,FIFO,noRSL,unload_time,40,132590.55906214647,132590.55906214647,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,pick_owed_s,40,9751894.871427903,9379535.437949367,3.80366243426348,2.097010753935083,4.691311145683226,1.6350841259795499,0.9865047233468286,1.15434256485932e-07,2.30868512971864e-07,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,pick_owed_s,40,9751894.871427903,9895914.202899784,-1.5173317091366059,-2.201708223974858,-1.0523643971701222,-1.2756670149778557,-0.9609756097560975,3.0740920919924974e-10,9.222276275977492e-10,baseline
opt_fifo_norsl,Opt,FIFO,noRSL,pick_owed_s,40,9751894.871427903,9751894.871427903,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,unservable_weight,40,701.0,788.5,-2.8741328047571852,-37.85942492012779,0.1692047377326565,-0.4396647270391727,-0.4624624624624625,0.015543319566556928,0.031086639133113856,baseline
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,unservable_weight,40,701.0,809.5,-16.382978723404253,-54.80673934588701,-5.387523629489603,-0.727463559390723,-0.786774628879892,2.363347978098995e-05,7.090043934296984e-05,baseline
opt_fifo_norsl,Opt,FIFO,noRSL,unservable_weight,40,701.0,701.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
