strategy,initial,assignment,reslot,metric,n_batches,baseline_median,arm_median,pct_median,ci_lo,ci_hi,hedges_g,rank_biserial,p_wilcoxon,p_holm,better
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,production_time,40,621409.7762793874,621311.0665412098,0.0,-0.18305487335165657,0.07540407212900262,0.02083645401257724,0.004048582995951417,0.9826446560128709,1.0,tie
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,production_time,40,621409.7762793874,618481.360126441,1.3647659811400479,0.6850920263501645,1.9626362800067965,0.76314613342494,0.751219512195122,9.59746103035286e-06,2.8792383091058582e-05,arm
opt_fifo_norsl,Opt,FIFO,noRSL,production_time,40,621409.7762793874,621409.7762793874,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,objective_task_labor,40,264.3758971789381,264.0780566411256,-0.16786770361592623,-0.9048929566470498,0.43277159805193116,-0.12204406925129972,-0.13630229419703105,0.4639458632826564,0.9278917265653128,baseline
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,objective_task_labor,40,264.3758971789381,282.795582560924,-5.607434482949146,-6.550319688280787,-3.6991271488215043,-0.5681501491875993,-0.697560975609756,5.078317190054804e-05,0.00015234951570164412,baseline
opt_fifo_norsl,Opt,FIFO,noRSL,objective_task_labor,40,264.3758971789381,264.3758971789381,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,objective_total_labor,40,406875.8387793889,405359.4832078657,-0.10307421024548975,-0.4657571010551215,0.07511389743540066,-0.08291520128055534,-0.1417004048582996,0.44643641559805525,0.8928728311961105,baseline
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,objective_total_labor,40,406875.8387793889,416952.7559596949,-0.8039301924614985,-1.395612362357114,-0.1837013050697034,-0.04619916466411258,-0.1975609756097561,0.2825841121848498,0.8477523365545494,baseline
opt_fifo_norsl,Opt,FIFO,noRSL,objective_total_labor,40,406875.8387793889,406875.8387793889,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,task_mean_duration,40,403.7705506144225,404.7631635753205,-0.0017866096968133167,-0.2368930862175122,0.17711176449144111,-0.058156740305694496,-0.03643724696356275,0.8447817999706625,1.0,baseline
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,task_mean_duration,40,403.7705506144225,418.029467185919,-2.8664953123326056,-3.7247636096020713,-2.2972619314984404,-0.6583414973945003,-0.6902439024390243,6.268265497055836e-05,0.00018804796491167508,baseline
opt_fifo_norsl,Opt,FIFO,noRSL,task_mean_duration,40,403.7705506144225,403.7705506144225,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,makespan,40,27212.11095166736,27187.853379286593,0.02009568311586441,-0.11069593944428889,0.16548357860530302,0.046586572733621885,0.06612685560053981,0.7223605452135442,1.0,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,makespan,40,27212.11095166736,27071.402822367352,0.7495780110769863,0.08552178034301532,1.8351735716825295,0.6152443631796092,0.6609756097560976,0.00014039414600119926,0.0004211824380035978,arm
opt_fifo_norsl,Opt,FIFO,noRSL,makespan,40,27212.11095166736,27212.11095166736,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,throughput,40,1.1975342984313335,1.20822725168094,0.08022538385158674,-0.0950935303167128,0.38596445099072146,0.01983794406163866,0.1417004048582996,0.44643641559805525,0.8928728311961105,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,throughput,40,1.1975342984313335,1.2175687996374471,1.4160149946351739,0.6664511677489489,1.841883806254715,0.8056165915625356,0.7439024390243902,1.221069942403119e-05,3.663209827209357e-05,arm
opt_fifo_norsl,Opt,FIFO,noRSL,throughput,40,1.1975342984313335,1.1975342984313335,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,throughput_task,40,0.052386336246341855,0.05289008058861017,0.13972240794221555,-0.03635123908264389,0.3309213498396686,0.015994707751518834,0.13900134952766532,0.4551437283284878,0.9102874566569756,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,throughput_task,40,0.052386336246341855,0.05324010464620387,1.3110043070704998,0.6077896855394272,1.8636989600615466,0.7994497609863989,0.7463414634146341,1.1274605640210211e-05,3.3823816920630634e-05,arm
opt_fifo_norsl,Opt,FIFO,noRSL,throughput_task,40,0.052386336246341855,0.052386336246341855,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,queue_depth,40,0.0,0.0,100.0,100.0,100.0,0.2976263487991033,0.6363636363636364,0.06188375105213765,0.18565125315641295,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,queue_depth,40,0.0,0.0,100.0,56.85626102292769,100.0,-0.1268896168636066,-0.27472527472527475,0.38235208985751545,0.7647041797150309,arm
opt_fifo_norsl,Opt,FIFO,noRSL,queue_depth,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,sigma_fd,40,19420522.409679484,17703038.77096058,8.85019457329771,5.905286231671289,9.810353001639388,2.2146995088399244,1.0,7.739732463297963e-08,1.5479464926595927e-07,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,sigma_fd,40,19420522.409679484,13671697.160440579,29.606243726527172,28.908795309569406,29.987587458944212,28.566665217109584,1.0,1.8189894035458565e-12,5.4569682106375694e-12,arm
opt_fifo_norsl,Opt,FIFO,noRSL,sigma_fd,40,19420522.409679484,19420522.409679484,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,picking_pct,40,73.63057635444558,73.69914412444669,0.004327286606615889,-0.048489300373090224,0.09537115882071708,0.021987755300567707,0.08502024291497975,0.6477992188034503,1.0,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,picking_pct,40,73.63057635444558,74.5486470085891,1.1017832501430693,0.8699695438963649,1.4786442293212345,1.135978327289894,0.8707317073170732,8.20273271529004e-08,2.460819814587012e-07,arm
opt_fifo_norsl,Opt,FIFO,noRSL,picking_pct,40,73.63057635444558,73.63057635444558,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,reorder_churn,40,16697.5,14348.5,0.0,-3.870967741935484,2.05726146144924,0.004984029436010348,0.006006006006006006,0.9749336743284315,1.0,tie
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,reorder_churn,40,16697.5,14504.0,-0.9668600386744015,-8.682008368200837,2.845090647998564,-0.010775891806432025,-0.07692307692307693,0.6793759463114114,1.0,baseline
opt_fifo_norsl,Opt,FIFO,noRSL,reorder_churn,40,16697.5,16697.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,throughput_elapsed,40,1.1819126502561508,1.1829577444242432,0.07487648335003304,-0.3625440715234016,0.45318264874403075,-0.0007140767789436968,0.00995732574679943,0.9578896679175669,1.0,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,throughput_elapsed,40,1.1819126502561508,1.1739107237537263,0.03433106040694584,-0.6487887107064302,0.5864890967179996,0.014077581612576334,0.038461538461538464,0.8341945612473364,1.0,arm
opt_fifo_norsl,Opt,FIFO,noRSL,throughput_elapsed,40,1.1819126502561508,1.1819126502561508,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,total_production_time,40,1710804.900664628,1360583.4793102546,8.621767553580867,0.5018794253323073,19.359204224783536,0.1865824442305347,0.3549257759784076,0.05651420999669287,0.1695426299900786,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,total_production_time,40,1710804.900664628,1423519.974201958,4.3114464011533435,-4.534130995505568,12.821245506824358,0.14882901184241623,0.18048780487804877,0.32689447529082827,0.6537889505816565,arm
opt_fifo_norsl,Opt,FIFO,noRSL,total_production_time,40,1710804.900664628,1710804.900664628,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
