strategy,initial,assignment,reslot,metric,n_batches,baseline_median,arm_median,pct_median,ci_lo,ci_hi,hedges_g,rank_biserial,p_wilcoxon,p_holm,better
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,production_time,40,645602.4505153303,627009.5247180918,0.7523969429604316,0.5134164814655442,0.9202283995519657,0.22103132202929682,0.49527665317139,0.007787018853117895,0.01557403770623579,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,production_time,40,645602.4505153303,592215.2871654028,3.4091075873883145,2.2838827541467293,3.7793424696958784,0.5648771759932093,0.6170731707317073,0.0004266080886736745,0.0012798242660210235,arm
opt_fifo_norsl,Opt,FIFO,noRSL,production_time,40,645602.4505153303,645602.4505153303,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,objective_task_labor,40,897.2419019326014,878.8410197122062,0.6437420856235996,0.18228286753246742,1.0467669323354913,0.28328755458402294,0.5330634278002699,0.0041806468657305945,0.008361293731461189,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,objective_task_labor,40,897.2419019326014,820.9237775569527,5.598091402043821,4.177346521288117,6.548545485618964,1.5811840023033101,0.9902439024390244,1.2732925824820995e-11,3.8198777474462986e-11,arm
opt_fifo_norsl,Opt,FIFO,noRSL,objective_task_labor,40,897.2419019326014,897.2419019326014,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,objective_total_labor,40,573445.2838486603,557408.4274958652,0.5470978332349228,0.4413689043260465,0.8675290859792705,0.1571024538612451,0.43859649122807015,0.0184421180510759,0.0368842361021518,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,objective_total_labor,40,573445.2838486603,525407.1343876254,3.8412240701651053,2.287931165581661,4.032633383329019,0.5905555356187514,0.6317073170731707,0.00029818139228154905,0.0008945441768446472,arm
opt_fifo_norsl,Opt,FIFO,noRSL,objective_total_labor,40,573445.2838486603,573445.2838486603,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,task_mean_duration,40,1010.3964933601812,987.5200391319624,0.826610565831956,0.32676588279228036,1.274131221818141,0.38537921635192923,0.5870445344129555,0.001609139571225135,0.00321827914245027,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,task_mean_duration,40,1010.3964933601812,928.5844946372949,5.279554752792633,4.133331445925502,6.446173422080584,1.6083565973599934,0.9926829268292683,9.094947017729282e-12,2.7284841053187847e-11,arm
opt_fifo_norsl,Opt,FIFO,noRSL,task_mean_duration,40,1010.3964933601812,1010.3964933601812,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,makespan,40,21024.716639627673,20465.01190128966,0.8833034267020274,0.571525248971295,1.210828030937924,0.7796439140058243,0.7489878542510121,5.712524919507282e-05,0.00011425049839014564,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,makespan,40,21024.716639627673,19349.843711167367,3.8797387312513436,3.3703046148987164,4.463423488489857,1.2581737499866108,0.973170731707317,1.000444171950221e-10,3.001332515850663e-10,arm
