strategy,initial,assignment,reslot,metric,n_batches,baseline_median,arm_median,pct_median,ci_lo,ci_hi,hedges_g,rank_biserial,p_wilcoxon,p_holm,better
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,production_time,40,627130.1777268748,625449.5850082602,0.029322247189017665,-0.06760035153467817,0.18059860636843006,0.15356484020713876,0.21727395411605938,0.24303547341118348,0.48607094682236696,arm
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,production_time,40,627130.1777268748,620211.3730448242,1.060566373531183,0.626680003600728,1.5776767284080986,0.9913070318584335,0.848780487804878,2.275137376273051e-07,6.825412128819153e-07,arm
opt_fifo_norsl,Opt,FIFO,noRSL,production_time,40,627130.1777268748,627130.1777268748,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,objective_task_labor,40,265.968617294262,266.43398248609424,-0.4994153052053395,-0.8146044091674632,-0.08507122633671028,-0.2994837581109644,-0.39541160593792174,0.03362139133395921,0.06724278266791842,baseline
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,objective_task_labor,40,265.968617294262,281.5143607800851,-4.809264887838523,-6.975069746333091,-3.1912496837355224,-0.6085689538186757,-0.7146341463414634,3.061662209802307e-05,9.184986629406922e-05,baseline
opt_fifo_norsl,Opt,FIFO,noRSL,objective_task_labor,40,265.968617294262,265.968617294262,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,objective_total_labor,40,408300.35886295885,409923.9391749338,-0.3750378769164898,-0.68469970362521,0.145249285358572,-0.14265393713488828,-0.23346828609986506,0.20967963433301573,0.41935926866603146,baseline
opt_rank_minlabor_norsl,Opt,Rank_minlabor,noRSL,objective_total_labor,40,408300.35886295885,421403.2688781655,-0.6492224480382125,-1.687731644981568,0.3658157905688289,-0.09413019792461763,-0.275609756097561,0.1315581506714807,0.39467445201444207,baseline
opt_fifo_norsl,Opt,FIFO,noRSL,objective_total_labor,40,408300.35886295885,408300.35886295885,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_minlabor_norsl,Uni,Rank_minlabor,noRSL,task_mean_duration,40,407.23362202806186,407.06531827861113,-0.10978077635368312,-0.23246254989059562,0.0009144648819243305,-0.23332218178283573,-0.3144399460188934,0.09112075750402696,0.1822415150080539,baseline
