strategy,initial,assignment,reslot,metric,n_batches,baseline_median,arm_median,pct_median,ci_lo,ci_hi,hedges_g,rank_biserial,p_wilcoxon,p_holm,better
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,production_time,40,643315.2747661964,625813.722156595,0.7331233516394113,0.39774211233210394,0.8239976518722887,0.23574983451426532,0.4682860998650472,0.011864641634534113,0.023729283269068226,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,production_time,40,643315.2747661964,592679.7851743193,3.290845772410259,2.452719242871693,3.7406300975874447,0.5399934247488655,0.5707317073170731,0.0012308068326092325,0.0036924204978276975,arm
opt_fifo_norsl,Opt,FIFO,noRSL,production_time,40,643315.2747661964,643315.2747661964,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,objective_task_labor,40,897.1541307451256,876.8950005021795,0.21208757080382407,-0.21836380750501705,0.43431980564054945,0.24898697523572696,0.2550607287449393,0.17054177772143564,0.3410835554428713,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,objective_task_labor,40,897.1541307451256,821.3663273080526,5.929642435708117,4.8693620519017395,6.73603744467723,1.603283274977536,0.9804878048780488,4.547473508864641e-11,1.3642420526593924e-10,arm
opt_fifo_norsl,Opt,FIFO,noRSL,objective_task_labor,40,897.1541307451256,897.1541307451256,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,objective_total_labor,40,572374.375612101,556104.2221565922,0.43756163057411973,0.244278268728104,0.6826610013901379,0.1736804130717255,0.4224021592442645,0.023231490556286972,0.046462981112573944,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,objective_total_labor,40,572374.375612101,527222.354618763,3.7486543145006577,2.813471033189138,4.00860115065545,0.5671706958999162,0.5926829268292683,0.0007553515715699177,0.002266054714709753,arm
opt_fifo_norsl,Opt,FIFO,noRSL,objective_total_labor,40,572374.375612101,572374.375612101,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,task_mean_duration,40,1010.1335952920743,985.4992139981641,0.263262665637513,0.0,0.5551469987613369,0.3400026862153261,0.43049932523616735,0.020716428780788866,0.04143285756157773,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,task_mean_duration,40,1010.1335952920743,929.2615578950588,5.541053366097103,4.467574674369496,6.262413119539913,1.6729775606134032,0.9853658536585366,2.546585164964199e-11,7.639755494892597e-11,arm
opt_fifo_norsl,Opt,FIFO,noRSL,task_mean_duration,40,1010.1335952920743,1010.1335952920743,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,makespan,40,21005.744102824945,20390.23162291039,0.8477090333012435,0.4217162052777194,1.310311719255732,0.6186743913352543,0.7112010796221323,0.00013272332486413522,0.00026544664972827045,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,makespan,40,21005.744102824945,19365.799693603418,3.8027828599905873,3.415521691049745,4.114683624898429,1.1289829552777715,0.9390243902439024,1.6443664208054543e-09,4.933099262416363e-09,arm
opt_fifo_norsl,Opt,FIFO,noRSL,makespan,40,21005.744102824945,21005.744102824945,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,throughput,40,0.29460041918738955,0.2967422833744475,0.8512079660445274,0.5466257943088786,1.2519674259003792,0.8130644574056053,0.786774628879892,2.363931532256878e-05,4.727863064513756e-05,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,throughput,40,0.29460041918738955,0.3047547766663701,3.9116837069493413,3.7360767870796963,4.21432450298741,1.6961187131525381,0.9951219512195122,5.4569682106375694e-12,1.6370904631912708e-11,arm
opt_fifo_norsl,Opt,FIFO,noRSL,throughput,40,0.29460041918738955,0.29460041918738955,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,throughput_task,40,0.009651216405520968,0.009737173531003767,0.7504477834239497,0.664564890004638,0.9363464410702464,1.0191500367473576,0.9433198380566802,4.008674814357394e-07,8.017349628714788e-07,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,throughput_task,40,0.009651216405520968,0.010014598073334421,3.659582720492993,3.279342467748758,4.084292841733144,1.545108517589206,0.9975609756097561,3.637978807091713e-12,1.0913936421275139e-11,arm
opt_fifo_norsl,Opt,FIFO,noRSL,throughput_task,40,0.009651216405520968,0.009651216405520968,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,queue_depth,40,0.0,0.0,100.0,nan,nan,0.15513060219693936,1.0,0.31731050786291415,0.9519315235887424,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,queue_depth,40,0.0,0.0,100.0,nan,nan,0.04995510393110469,0.0,1.0,1.0,arm
opt_fifo_norsl,Opt,FIFO,noRSL,queue_depth,40,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,sigma_fd,40,17743135.819062613,17318504.91813451,2.4127277211554,1.2605633928534898,3.3478639427456436,1.7180330439900806,1.0,7.739732463297963e-08,1.5479464926595927e-07,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,sigma_fd,40,17743135.819062613,15396133.088321928,13.232762715796888,13.085651414245575,13.477074030532513,55.17313792369072,1.0,1.8189894035458565e-12,5.4569682106375694e-12,arm
opt_fifo_norsl,Opt,FIFO,noRSL,sigma_fd,40,17743135.819062613,17743135.819062613,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,picking_pct,40,92.96195099988364,92.98375040185837,0.08913199973254454,0.08234080935377325,0.11052278905654504,1.0158619537825486,0.9082321187584346,1.0607736075631979e-06,2.1215472151263957e-06,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,picking_pct,40,92.96195099988364,93.25185937457616,0.2830508956634652,0.2228873824685988,0.37357786790614483,1.4201813265720034,0.926829268292683,3.701643436215818e-09,1.1104930308647454e-08,arm
opt_fifo_norsl,Opt,FIFO,noRSL,picking_pct,40,92.96195099988364,92.96195099988364,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,reorder_churn,40,1951.0,1972.5,0.08058017727639001,-0.32679738562091504,0.8429458740017746,0.006685885997014184,0.07226890756302522,0.713150032416461,1.0,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,reorder_churn,40,1951.0,1975.5,0.02535496957403651,-1.1277361964964272,1.3164601674752567,0.04108505438683806,0.05689900426742532,0.7628513469959495,1.0,arm
opt_fifo_norsl,Opt,FIFO,noRSL,reorder_churn,40,1951.0,1951.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,throughput_elapsed,40,0.23474819058055246,0.23623290770085098,0.0,-0.008267195767197059,0.18080814373987558,0.038874593949445944,0.11229946524064172,0.5734696408287883,1.0,tie
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,throughput_elapsed,40,0.23474819058055246,0.2333851378806576,0.0,-0.1642406644596968,0.28821529292362513,0.05536254637812025,0.08253968253968254,0.6701907112328038,1.0,tie
opt_fifo_norsl,Opt,FIFO,noRSL,throughput_elapsed,40,0.23474819058055246,0.23474819058055246,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,total_production_time,40,1760834.3942787354,1668842.8651801231,5.2760353931426565,4.659525711937835,6.721875830955483,1.3024145749138278,0.9244264507422402,6.79862776734755e-07,2.039588330204265e-06,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,total_production_time,40,1760834.3942787354,1724609.6759286984,3.5259860315646425,0.11304634966476379,3.997048552769087,0.30032653994180464,0.4,0.02685272056623944,0.05370544113247888,arm
opt_fifo_norsl,Opt,FIFO,noRSL,total_production_time,40,1760834.3942787354,1760834.3942787354,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,putaway_time,40,680718.2858213494,586380.7974903712,15.223496695871184,11.174935645563298,18.08254893142643,1.6511430577621744,0.9865047233468286,1.15434256485932e-07,3.46302769457796e-07,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,putaway_time,40,680718.2858213494,635817.1386950419,5.395861524379118,2.537636998036656,6.24857216587935,0.28570090114683067,0.4089068825910931,0.02801367892504106,0.05602735785008212,arm
opt_fifo_norsl,Opt,FIFO,noRSL,putaway_time,40,680718.2858213494,680718.2858213494,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,unload_time,40,454747.6437068386,461171.64443564764,-0.0358457342234912,-1.0271002240636113,1.543214438809671e-13,-8.797126786158586e-05,-0.15789473684210525,0.39622463633690064,1.0,baseline
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,unload_time,40,454747.6437068386,412395.3283694056,-0.09843802001387816,-1.2515646703659526,0.7671958296118391,0.02166432813853979,-0.022941970310391364,0.9018938161978551,1.0,baseline
opt_fifo_norsl,Opt,FIFO,noRSL,unload_time,40,454747.6437068386,454747.6437068386,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,pick_owed_s,40,22336387.418111578,21259603.997372378,4.727471544238398,2.5126327276743434,6.30075162569222,1.7687946026138464,1.0,7.739732463297963e-08,1.5479464926595927e-07,arm
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,pick_owed_s,40,22336387.418111578,21540980.033350363,3.685418368647963,3.3669958687263497,3.7908562742951197,10.401671287586161,1.0,1.8189894035458565e-12,5.4569682106375694e-12,arm
opt_fifo_norsl,Opt,FIFO,noRSL,pick_owed_s,40,22336387.418111578,22336387.418111578,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
uni_rank_cartlabor_norsl,Uni,Rank_cartlabor,noRSL,unservable_weight,40,268.5,271.5,0.0,-1.6597510373443984,0.5050505050505051,-0.4257683943546845,-0.3958333333333333,0.05029289967057425,0.15087869901172274,tie
opt_rank_cartlabor_norsl,Opt,Rank_cartlabor,noRSL,unservable_weight,40,268.5,259.0,0.0,-2.464788732394366,5.985915492957746,0.015849495771467003,0.07130124777183601,0.7207501210324823,1.0,tie
opt_fifo_norsl,Opt,FIFO,noRSL,unservable_weight,40,268.5,268.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,tie
